date,strategy,cost_bps,gross_return,net_return
2018-02-01,Minimum CVaR,0,-0.00260228959381923,-0.00260228959381923
2018-02-02,Minimum CVaR,0,-0.0105574976564056,-0.0105574976564056
2018-02-05,Minimum CVaR,0,-0.0107781475409436,-0.0107781475409436
2018-02-06,Minimum CVaR,0,0.00370718249329438,0.00370718249329438
2018-02-07,Minimum CVaR,0,-0.00433900735062317,-0.00433900735062317
2018-02-08,Minimum CVaR,0,-0.0119878266059192,-0.0119878266059192
2018-02-09,Minimum CVaR,0,0.00219746478707457,0.00219746478707457
2018-02-12,Minimum CVaR,0,0.00510900210326014,0.00510900210326014
2018-02-13,Minimum CVaR,0,0.00108486609321942,0.00108486609321942
2018-02-14,Minimum CVaR,0,0.00316375430805081,0.00316375430805081
2018-02-15,Minimum CVaR,0,0.00509306684778474,0.00509306684778474
2018-02-16,Minimum CVaR,0,0.00186937519387544,0.00186937519387544
2018-02-20,Minimum CVaR,0,-0.00494833373820886,-0.00494833373820886
2018-02-21,Minimum CVaR,0,-0.00446678863789698,-0.00446678863789698
2018-02-22,Minimum CVaR,0,0.00201919901486097,0.00201919901486097
2018-02-23,Minimum CVaR,0,0.00683390825365026,0.00683390825365026
2018-02-26,Minimum CVaR,0,0.00447703585827221,0.00447703585827221
2018-02-27,Minimum CVaR,0,-0.0073185829050698,-0.0073185829050698
2018-02-28,Minimum CVaR,0,-0.00203312371769372,-0.00203312371769372
2018-03-01,Minimum CVaR,0,-0.000165478799679779,-0.000165478799679779
2018-03-02,Minimum CVaR,0,0.000301937101003739,0.000301937101003739
2018-03-05,Minimum CVaR,0,0.000205027449096053,0.000205027449096053
2018-03-06,Minimum CVaR,0,0.0036971713711819,0.0036971713711819
2018-03-07,Minimum CVaR,0,-0.000521658558712192,-0.000521658558712192
2018-03-08,Minimum CVaR,0,0.00101535291087593,0.00101535291087593
2018-03-09,Minimum CVaR,0,1.66151973457228e-05,1.66151973457228e-05
2018-03-12,Minimum CVaR,0,0.00166836338236041,0.00166836338236041
2018-03-13,Minimum CVaR,0,0.000384834946995293,0.000384834946995293
2018-03-14,Minimum CVaR,0,0.0013092427190844,0.0013092427190844
2018-03-15,Minimum CVaR,0,-0.00153974155521973,-0.00153974155521973
2018-03-16,Minimum CVaR,0,-0.000163580396298851,-0.000163580396298851
2018-03-19,Minimum CVaR,0,-0.002454940343296,-0.002454940343296
2018-03-20,Minimum CVaR,0,-0.00276326290407302,-0.00276326290407302
2018-03-21,Minimum CVaR,0,0.00404991560702163,0.00404991560702163
2018-03-22,Minimum CVaR,0,-0.00155020670637027,-0.00155020670637027
2018-03-23,Minimum CVaR,0,-0.00086049599326302,-0.00086049599326302
2018-03-26,Minimum CVaR,0,0.00411991328536836,0.00411991328536836
2018-03-27,Minimum CVaR,0,-5.82874169407684e-05,-5.82874169407684e-05
2018-03-28,Minimum CVaR,0,-0.00145828156764744,-0.00145828156764744
2018-03-29,Minimum CVaR,0,0.00383290585257653,0.00383290585257653
2018-04-02,Minimum CVaR,0,-0.000664593585316224,-0.000664593585316224
2018-04-03,Minimum CVaR,0,-0.00188535177000089,-0.00188535177000089
2018-04-04,Minimum CVaR,0,0.00137557960874287,0.00137557960874287
2018-04-05,Minimum CVaR,0,-0.000909045813315438,-0.000909045813315438
2018-04-06,Minimum CVaR,0,0.00141977737229941,0.00141977737229941
2018-04-09,Minimum CVaR,0,0.00149531312404381,0.00149531312404381
2018-04-10,Minimum CVaR,0,0.00232389016880197,0.00232389016880197
2018-04-11,Minimum CVaR,0,0.0021970431860685,0.0021970431860685
2018-04-12,Minimum CVaR,0,-0.00365629595763898,-0.00365629595763898
2018-04-13,Minimum CVaR,0,0.00127350667794553,0.00127350667794553
2018-04-16,Minimum CVaR,0,0.00116966128758625,0.00116966128758625
2018-04-17,Minimum CVaR,0,0.00186233477876835,0.00186233477876835
2018-04-18,Minimum CVaR,0,-0.0025093667046139,-0.0025093667046139
2018-04-19,Minimum CVaR,0,-0.00369639221712685,-0.00369639221712685
2018-04-20,Minimum CVaR,0,-0.00482113878720648,-0.00482113878720648
2018-04-23,Minimum CVaR,0,-0.00213113550004272,-0.00213113550004272
2018-04-24,Minimum CVaR,0,-0.00138259013876452,-0.00138259013876452
2018-04-25,Minimum CVaR,0,-0.00345029127176144,-0.00345029127176144
2018-04-26,Minimum CVaR,0,0.00222312692658267,0.00222312692658267
2018-04-27,Minimum CVaR,0,0.00235470088363121,0.00235470088363121
2018-04-30,Minimum CVaR,0,-0.00225441678407644,-0.00225441678407644
2018-05-01,Minimum CVaR,0,-0.00239069918447685,-0.00239069918447685
2018-05-02,Minimum CVaR,0,9.45411224847686e-05,9.45411224847686e-05
2018-05-03,Minimum CVaR,0,0.00151563057532169,0.00151563057532169
2018-05-04,Minimum CVaR,0,0.00253378035208579,0.00253378035208579
2018-05-07,Minimum CVaR,0,0.000469705957818297,0.000469705957818297
2018-05-08,Minimum CVaR,0,-3.84224221509933e-05,-3.84224221509933e-05
2018-05-09,Minimum CVaR,0,-0.000628222862230997,-0.000628222862230997
2018-05-10,Minimum CVaR,0,0.00473894463668333,0.00473894463668333
2018-05-11,Minimum CVaR,0,0.000760551261920112,0.000760551261920112
2018-05-14,Minimum CVaR,0,-0.00252469323906009,-0.00252469323906009
2018-05-15,Minimum CVaR,0,-0.00781413834812179,-0.00781413834812179
2018-05-16,Minimum CVaR,0,-0.000200607798645549,-0.000200607798645549
2018-05-17,Minimum CVaR,0,-0.000254394238283764,-0.000254394238283764
2018-05-18,Minimum CVaR,0,0.0027982511419897,0.0027982511419897
2018-05-21,Minimum CVaR,0,0.00162922483734858,0.00162922483734858
2018-05-22,Minimum CVaR,0,-0.00150731878574042,-0.00150731878574042
2018-05-23,Minimum CVaR,0,0.0027051910150373,0.0027051910150373
2018-05-24,Minimum CVaR,0,0.00342176107887626,0.00342176107887626
2018-05-25,Minimum CVaR,0,0.00119530320670141,0.00119530320670141
2018-05-29,Minimum CVaR,0,0.00445025086379028,0.00445025086379028
