strategy,cost_bps,turnover,transaction_cost,terminal_wealth,cagr,sharpe,cost_drag,gross_terminal_wealth,mean_turnover,annualized_turnover
Combined Robust Max Sharpe λ=0.50 γ=0.10,0,0.0443786601440548,0,2.20572729180576,0.0967766395702145,0.705537662317773,0,2.20572729180576,0.0443786601440548,0.532543921728657
Combined Robust Max Sharpe λ=0.50 γ=0.10,5,0.0443786601440548,0.0032798010559052,2.20244749074986,0.0965860722920722,0.703773082302136,0.0032798010559052,2.20572729180576,0.0443786601440548,0.532543921728657
Combined Robust Max Sharpe λ=0.50 γ=0.10,10,0.0443786601440548,0.00655503276148162,2.19917225904428,0.0963955202209166,0.702007753264854,0.00655503276148162,2.20572729180576,0.0443786601440548,0.532543921728657
Combined Robust Max Sharpe λ=0.50 γ=0.10,25,0.0443786601440548,0.0163533717562796,2.18937392004948,0.0958239552140023,0.696707344883912,0.0163533717562796,2.20572729180576,0.0443786601440548,0.532543921728657
Equal Risk Contribution,0,0.00889243893719838,0,1.69804437978728,0.0637810529362905,0.471068350358671,0,1.69804437978728,0.00889243893719838,0.106709267246381
Equal Risk Contribution,5,0.00889243893719838,0.000507257234273251,1.69753712255301,0.0637439389276582,0.470663054134095,0.000507257234273251,1.69804437978728,0.00889243893719838,0.106709267246381
Equal Risk Contribution,10,0.00889243893719838,0.00101437232750867,1.69703000745977,0.0637068255264368,0.470257740514044,0.00101437232750867,1.69804437978728,0.00889243893719838,0.106709267246381
Equal Risk Contribution,25,0.00889243893719838,0.00253486513712753,1.69550951465015,0.0635954889669441,0.4690416961819,0.00253486513712753,1.69804437978728,0.00889243893719838,0.106709267246381
Equal Weight,0,0,0,2.0235991538435,0.085794464850095,0.525993417631821,0,2.0235991538435,0,0
Equal Weight,5,0,0,2.0235991538435,0.085794464850095,0.525993417631821,0,2.0235991538435,0,0
Equal Weight,10,0,0,2.0235991538435,0.085794464850095,0.525993417631821,0,2.0235991538435,0,0
Equal Weight,25,0,0,2.0235991538435,0.085794464850095,0.525993417631821,0,2.0235991538435,0,0
Inverse Volatility,0,0.0072387575025438,0,1.77905656351133,0.0695863617569565,0.502432073853658,0,1.77905656351133,0.0072387575025438,0.0868650900305256
Inverse Volatility,5,0.0072387575025438,0.000433024455439801,1.77862353905589,0.0695559575057945,0.502118112634296,0.000433024455439801,1.77905656351133,0.0072387575025438,0.0868650900305256
Inverse Volatility,10,0.0072387575025438,0.000865949584329506,1.778190613927,0.0695255536924262,0.501804143419548,0.000865949584329506,1.77905656351133,0.0072387575025438,0.0868650900305256
Inverse Volatility,25,0.0072387575025438,0.00216412922784914,1.77689243428348,0.0694343448789225,0.500862188182759,0.00216412922784914,1.77905656351133,0.0072387575025438,0.0868650900305256
Maximum Sharpe,0,0.101371649253012,0,2.21010149563103,0.0970304061679808,0.585387958564163,0,2.21010149563103,0.101371649253012,1.21645979103614
Maximum Sharpe,5,0.101371649253012,0.00748857684947701,2.20261291878155,0.0965956902076421,0.582086643438484,0.00748857684947701,2.21010149563103,0.101371649253012,1.21645979103614
Maximum Sharpe,10,0.101371649253012,0.0149526185544002,2.19514887707663,0.096161097603757,0.57878477081301,0.0149526185544002,2.21010149563103,0.101371649253012,1.21645979103614
Maximum Sharpe,25,0.101371649253012,0.0371983086692178,2.17290318696181,0.0948580596795237,0.568876057460283,0.0371983086692178,2.21010149563103,0.101371649253012,1.21645979103614
Minimum CVaR,0,0.0729660917606706,0,1.640944724212,0.0595404743782093,0.484480247253463,0,1.640944724212,0.0729660917606706,0.875593101128048
Minimum CVaR,5,0.0729660917606706,0.00400281884474163,1.63694190536726,0.0592383352713286,0.480791065186126,0.00400281884474163,1.640944724212,0.0729660917606706,0.875593101128048
Minimum CVaR,10,0.0729660917606706,0.00799622637087016,1.63294849784113,0.0589362555980772,0.477100625956235,0.00799622637087016,1.640944724212,0.0729660917606706,0.875593101128048
Minimum CVaR,25,0.0729660917606706,0.0199201942549843,1.62102452995702,0.0580303730798306,0.46602217718134,0.0199201942549843,1.640944724212,0.0729660917606706,0.875593101128048
Minimum Variance,0,0.0240907253058897,0,1.61370384503839,0.0574712890333797,0.46556429326859,0,1.61370384503839,0.0240907253058897,0.289088703670677
Minimum Variance,5,0.0240907253058897,0.001302467425075,1.61240137761331,0.057371584346966,0.464320653263639,0.001302467425075,1.61370384503839,0.0240907253058897,0.289088703670677
Minimum Variance,10,0.0240907253058897,0.00260392453267677,1.61109992050571,0.0572718859238164,0.463076909081462,0.00260392453267677,1.61370384503839,0.0240907253058897,0.289088703670677
Minimum Variance,25,0.0240907253058897,0.00650224150189493,1.60720160353649,0.0569728282293342,0.459345068276727,0.00650224150189493,1.61370384503839,0.0240907253058897,0.289088703670677
SPY,0,0,0,3.09179142732187,0.140891100819541,0.632010845273715,0,3.09179142732187,0,0
SPY,5,0,0,3.09179142732187,0.140891100819541,0.632010845273715,0,3.09179142732187,0,0
SPY,10,0,0,3.09179142732187,0.140891100819541,0.632010845273715,0,3.09179142732187,0,0
SPY,25,0,0,3.09179142732187,0.140891100819541,0.632010845273715,0,3.09179142732187,0,0
