date,strategy,cost_bps,transaction_cost
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.0
2018-03-01,Maximum Sharpe,0.0,0.0
2018-03-01,Maximum Sharpe,5.0,3.971144271733639e-05
2018-03-01,Maximum Sharpe,10.0,7.942288543467278e-05
2018-03-01,Maximum Sharpe,25.0,0.00019855721358668195
2018-03-01,Equal Weight,0.0,0.0
2018-03-01,Equal Weight,5.0,0.0
2018-03-01,Equal Weight,10.0,0.0
2018-03-01,Equal Weight,25.0,0.0
2018-03-01,Minimum Variance,0.0,0.0
2018-03-01,Minimum Variance,5.0,1.7711064872451124e-05
2018-03-01,Minimum Variance,10.0,3.542212974490225e-05
2018-03-01,Minimum Variance,25.0,8.855532436225562e-05
2018-03-01,SPY,0.0,0.0
2018-03-01,SPY,5.0,0.0
2018-03-01,SPY,10.0,0.0
2018-03-01,SPY,25.0,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,5.0,2.638149381762179e-05
2018-03-01,Shrunk Max Sharpe λ=0.25,10.0,5.276298763524358e-05
2018-03-01,Shrunk Max Sharpe λ=0.25,25.0,0.00013190746908810894
2018-03-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2018-03-01,Shrunk Max Sharpe λ=0.50,5.0,9.120359367302083e-05
2018-03-01,Shrunk Max Sharpe λ=0.50,10.0,0.00018240718734604167
2018-03-01,Shrunk Max Sharpe λ=0.50,25.0,0.00045601796836510416
2018-03-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2018-03-01,Shrunk Max Sharpe λ=0.75,5.0,3.4300732302644434e-05
2018-03-01,Shrunk Max Sharpe λ=0.75,10.0,6.860146460528887e-05
2018-03-01,Shrunk Max Sharpe λ=0.75,25.0,0.00017150366151322214
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,5.0,2.5761760314341094e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,10.0,5.152352062868219e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.00012880880157170547
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,5.0,1.3607455239225249e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,10.0,2.7214910478450497e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,25.0,6.803727619612624e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,5.0,1.353908107834797e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,10.0,2.707816215669594e-05
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,25.0,6.769540539173984e-05
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,3.026484692211789e-05
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,6.052969384423578e-05
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.00015132423461058944
2018-05-01,Maximum Sharpe,0.0,0.0
2018-05-01,Maximum Sharpe,5.0,0.0001162273000878027
2018-05-01,Maximum Sharpe,10.0,0.0002324546001756054
2018-05-01,Maximum Sharpe,25.0,0.0005811365004390135
2018-05-01,Equal Weight,0.0,0.0
2018-05-01,Equal Weight,5.0,0.0
2018-05-01,Equal Weight,10.0,0.0
2018-05-01,Equal Weight,25.0,0.0
2018-05-01,Minimum Variance,0.0,0.0
2018-05-01,Minimum Variance,5.0,2.857775883714441e-05
2018-05-01,Minimum Variance,10.0,5.715551767428882e-05
2018-05-01,Minimum Variance,25.0,0.00014288879418572205
2018-05-01,SPY,0.0,0.0
2018-05-01,SPY,5.0,0.0
2018-05-01,SPY,10.0,0.0
2018-05-01,SPY,25.0,0.0
2018-05-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2018-05-01,Shrunk Max Sharpe λ=0.25,5.0,3.73468499430614e-05
2018-05-01,Shrunk Max Sharpe λ=0.25,10.0,7.46936998861228e-05
2018-05-01,Shrunk Max Sharpe λ=0.25,25.0,0.00018673424971530698
2018-05-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2018-05-01,Shrunk Max Sharpe λ=0.50,5.0,2.745472621145389e-05
2018-05-01,Shrunk Max Sharpe λ=0.50,10.0,5.490945242290778e-05
2018-05-01,Shrunk Max Sharpe λ=0.50,25.0,0.00013727363105726944
2018-05-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2018-05-01,Shrunk Max Sharpe λ=0.75,5.0,3.057733395853637e-05
2018-05-01,Shrunk Max Sharpe λ=0.75,10.0,6.115466791707274e-05
2018-05-01,Shrunk Max Sharpe λ=0.75,25.0,0.00015288666979268185
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,5.0,6.04527552601117e-05
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.0001209055105202234
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.0003022637763005585
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,5.0,2.8708593185573175e-05
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,10.0,5.741718637114635e-05
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.00014354296592786585
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,5.0,1.5765316045165277e-05
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,10.0,3.1530632090330555e-05
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,25.0,7.882658022582638e-05
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,1.3504863490493287e-05
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,2.7009726980986574e-05
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,6.752431745246644e-05
2018-06-01,Maximum Sharpe,0.0,0.0
2018-06-01,Maximum Sharpe,5.0,0.00010935824664860877
2018-06-01,Maximum Sharpe,10.0,0.00021871649329721754
2018-06-01,Maximum Sharpe,25.0,0.0005467912332430438
2018-06-01,Equal Weight,0.0,0.0
2018-06-01,Equal Weight,5.0,0.0
2018-06-01,Equal Weight,10.0,0.0
2018-06-01,Equal Weight,25.0,0.0
2018-06-01,Minimum Variance,0.0,0.0
2018-06-01,Minimum Variance,5.0,1.1713070663476365e-05
2018-06-01,Minimum Variance,10.0,2.342614132695273e-05
2018-06-01,Minimum Variance,25.0,5.856535331738183e-05
2018-06-01,SPY,0.0,0.0
2018-06-01,SPY,5.0,0.0
2018-06-01,SPY,10.0,0.0
2018-06-01,SPY,25.0,0.0
2018-06-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2018-06-01,Shrunk Max Sharpe λ=0.25,5.0,8.931235603595738e-05
2018-06-01,Shrunk Max Sharpe λ=0.25,10.0,0.00017862471207191475
2018-06-01,Shrunk Max Sharpe λ=0.25,25.0,0.00044656178017978687
2018-06-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2018-06-01,Shrunk Max Sharpe λ=0.50,5.0,3.6765109981363526e-05
2018-06-01,Shrunk Max Sharpe λ=0.50,10.0,7.353021996272705e-05
2018-06-01,Shrunk Max Sharpe λ=0.50,25.0,0.00018382554990681763
2018-06-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2018-06-01,Shrunk Max Sharpe λ=0.75,5.0,1.9401009159333725e-05
2018-06-01,Shrunk Max Sharpe λ=0.75,10.0,3.880201831866745e-05
2018-06-01,Shrunk Max Sharpe λ=0.75,25.0,9.700504579666862e-05
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,5.0,9.169642930644622e-05
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.00018339285861289245
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.00045848214653223114
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,5.0,4.497531453856895e-05
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,10.0,8.99506290771379e-05
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.00022487657269284477
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,5.0,1.7212114988312756e-05
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,10.0,3.442422997662551e-05
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,25.0,8.606057494156377e-05
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,2.7421289068539153e-05
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,5.4842578137078305e-05
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.00013710644534269576
2018-08-01,Maximum Sharpe,0.0,0.0
2018-08-01,Maximum Sharpe,5.0,0.0001547006387777564
2018-08-01,Maximum Sharpe,10.0,0.0003094012775555128
2018-08-01,Maximum Sharpe,25.0,0.0007735031938887819
2018-08-01,Equal Weight,0.0,0.0
2018-08-01,Equal Weight,5.0,0.0
2018-08-01,Equal Weight,10.0,0.0
2018-08-01,Equal Weight,25.0,0.0
2018-08-01,Minimum Variance,0.0,0.0
2018-08-01,Minimum Variance,5.0,8.044410467752748e-06
2018-08-01,Minimum Variance,10.0,1.6088820935505497e-05
2018-08-01,Minimum Variance,25.0,4.0222052338763744e-05
2018-08-01,SPY,0.0,0.0
2018-08-01,SPY,5.0,0.0
2018-08-01,SPY,10.0,0.0
2018-08-01,SPY,25.0,0.0
2018-08-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2018-08-01,Shrunk Max Sharpe λ=0.25,5.0,4.421051248775886e-05
2018-08-01,Shrunk Max Sharpe λ=0.25,10.0,8.842102497551772e-05
2018-08-01,Shrunk Max Sharpe λ=0.25,25.0,0.0002210525624387943
2018-08-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2018-08-01,Shrunk Max Sharpe λ=0.50,5.0,9.110760697361888e-05
2018-08-01,Shrunk Max Sharpe λ=0.50,10.0,0.00018221521394723775
2018-08-01,Shrunk Max Sharpe λ=0.50,25.0,0.0004555380348680944
2018-08-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2018-08-01,Shrunk Max Sharpe λ=0.75,5.0,9.932025803495802e-06
2018-08-01,Shrunk Max Sharpe λ=0.75,10.0,1.9864051606991604e-05
2018-08-01,Shrunk Max Sharpe λ=0.75,25.0,4.966012901747901e-05
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,5.0,1.084681564940103e-05
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,10.0,2.169363129880206e-05
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,25.0,5.423407824700515e-05
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,5.0,1.9149394180737987e-18
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,10.0,3.8298788361475974e-18
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,25.0,9.574697090368992e-18
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,5.0,5.663638509753431e-19
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,10.0,1.1327277019506861e-18
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,25.0,2.8318192548767155e-18
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,2.6797184936598222e-05
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,5.3594369873196445e-05
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.0001339859246829911
2018-10-01,Maximum Sharpe,0.0,0.0
2018-10-01,Maximum Sharpe,5.0,6.0370956394662515e-05
2018-10-01,Maximum Sharpe,10.0,0.00012074191278932503
2018-10-01,Maximum Sharpe,25.0,0.0003018547819733126
2018-10-01,Equal Weight,0.0,0.0
2018-10-01,Equal Weight,5.0,0.0
2018-10-01,Equal Weight,10.0,0.0
2018-10-01,Equal Weight,25.0,0.0
2018-10-01,Minimum Variance,0.0,0.0
2018-10-01,Minimum Variance,5.0,2.7783235901139255e-05
2018-10-01,Minimum Variance,10.0,5.556647180227851e-05
2018-10-01,Minimum Variance,25.0,0.00013891617950569627
2018-10-01,SPY,0.0,0.0
2018-10-01,SPY,5.0,0.0
2018-10-01,SPY,10.0,0.0
2018-10-01,SPY,25.0,0.0
2018-10-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2018-10-01,Shrunk Max Sharpe λ=0.25,5.0,0.00010878359399914842
2018-10-01,Shrunk Max Sharpe λ=0.25,10.0,0.00021756718799829683
2018-10-01,Shrunk Max Sharpe λ=0.25,25.0,0.0005439179699957421
2018-10-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2018-10-01,Shrunk Max Sharpe λ=0.50,5.0,5.661138437487558e-05
2018-10-01,Shrunk Max Sharpe λ=0.50,10.0,0.00011322276874975116
2018-10-01,Shrunk Max Sharpe λ=0.50,25.0,0.0002830569218743779
2018-10-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2018-10-01,Shrunk Max Sharpe λ=0.75,5.0,2.2295074783531414e-05
2018-10-01,Shrunk Max Sharpe λ=0.75,10.0,4.459014956706283e-05
2018-10-01,Shrunk Max Sharpe λ=0.75,25.0,0.00011147537391765708
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,5.0,5.1138885656101175e-05
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.00010227777131220235
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.0002556944282805059
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,5.0,4.318499644995829e-05
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,10.0,8.636999289991658e-05
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.00021592498224979145
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,5.0,1.0563548446228537e-05
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,10.0,2.1127096892457073e-05
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,25.0,5.281774223114268e-05
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,5.7852411991262043e-05
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.00011570482398252409
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.00028926205995631024
2018-11-01,Maximum Sharpe,0.0,0.0
2018-11-01,Maximum Sharpe,5.0,3.707930042269933e-05
2018-11-01,Maximum Sharpe,10.0,7.415860084539867e-05
2018-11-01,Maximum Sharpe,25.0,0.00018539650211349664
2018-11-01,Equal Weight,0.0,0.0
2018-11-01,Equal Weight,5.0,0.0
2018-11-01,Equal Weight,10.0,0.0
2018-11-01,Equal Weight,25.0,0.0
2018-11-01,Minimum Variance,0.0,0.0
2018-11-01,Minimum Variance,5.0,1.1388961362510325e-05
2018-11-01,Minimum Variance,10.0,2.277792272502065e-05
2018-11-01,Minimum Variance,25.0,5.6944806812551626e-05
2018-11-01,SPY,0.0,0.0
2018-11-01,SPY,5.0,0.0
2018-11-01,SPY,10.0,0.0
2018-11-01,SPY,25.0,0.0
2018-11-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2018-11-01,Shrunk Max Sharpe λ=0.25,5.0,6.700102125924445e-05
2018-11-01,Shrunk Max Sharpe λ=0.25,10.0,0.0001340020425184889
2018-11-01,Shrunk Max Sharpe λ=0.25,25.0,0.0003350051062962223
2018-11-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2018-11-01,Shrunk Max Sharpe λ=0.50,5.0,1.570863144235154e-05
2018-11-01,Shrunk Max Sharpe λ=0.50,10.0,3.141726288470308e-05
2018-11-01,Shrunk Max Sharpe λ=0.50,25.0,7.854315721175771e-05
2018-11-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2018-11-01,Shrunk Max Sharpe λ=0.75,5.0,9.143007493294256e-06
2018-11-01,Shrunk Max Sharpe λ=0.75,10.0,1.8286014986588512e-05
2018-11-01,Shrunk Max Sharpe λ=0.75,25.0,4.571503746647128e-05
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,5.0,4.756072084859081e-05
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,10.0,9.512144169718162e-05
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.00023780360424295407
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,5.0,2.2840962575622425e-05
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,10.0,4.568192515124485e-05
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.00011420481287811212
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,5.0,1.0632125161342781e-18
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,10.0,2.1264250322685562e-18
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,25.0,5.316062580671391e-18
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,2.2260810551063616e-17
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,4.452162110212723e-17
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,1.1130405275531808e-16
2019-02-01,Maximum Sharpe,0.0,0.0
2019-02-01,Maximum Sharpe,5.0,0.0001024211222786702
2019-02-01,Maximum Sharpe,10.0,0.0002048422445573404
2019-02-01,Maximum Sharpe,25.0,0.000512105611393351
2019-02-01,Equal Weight,0.0,0.0
2019-02-01,Equal Weight,5.0,0.0
2019-02-01,Equal Weight,10.0,0.0
2019-02-01,Equal Weight,25.0,0.0
2019-02-01,Minimum Variance,0.0,0.0
2019-02-01,Minimum Variance,5.0,2.7632524758314007e-05
2019-02-01,Minimum Variance,10.0,5.5265049516628015e-05
2019-02-01,Minimum Variance,25.0,0.00013816262379157004
2019-02-01,SPY,0.0,0.0
2019-02-01,SPY,5.0,0.0
2019-02-01,SPY,10.0,0.0
2019-02-01,SPY,25.0,0.0
2019-02-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2019-02-01,Shrunk Max Sharpe λ=0.25,5.0,0.00013792556207103891
2019-02-01,Shrunk Max Sharpe λ=0.25,10.0,0.00027585112414207783
2019-02-01,Shrunk Max Sharpe λ=0.25,25.0,0.0006896278103551945
2019-02-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2019-02-01,Shrunk Max Sharpe λ=0.50,5.0,4.598105098744497e-05
2019-02-01,Shrunk Max Sharpe λ=0.50,10.0,9.196210197488994e-05
2019-02-01,Shrunk Max Sharpe λ=0.50,25.0,0.00022990525493722484
2019-02-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2019-02-01,Shrunk Max Sharpe λ=0.75,5.0,3.58763845670254e-05
2019-02-01,Shrunk Max Sharpe λ=0.75,10.0,7.17527691340508e-05
2019-02-01,Shrunk Max Sharpe λ=0.75,25.0,0.00017938192283512702
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,5.0,9.60219176126486e-05
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.0001920438352252972
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.00048010958806324306
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,5.0,6.013714676175522e-05
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.00012027429352351044
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.0003006857338087761
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,5.0,2.261985558094001e-05
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,10.0,4.523971116188002e-05
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.00011309927790470005
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,3.965958036779706e-05
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,7.931916073559412e-05
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.00019829790183898533
2019-03-01,Maximum Sharpe,0.0,0.0
2019-03-01,Maximum Sharpe,5.0,8.425438655067707e-05
2019-03-01,Maximum Sharpe,10.0,0.00016850877310135414
2019-03-01,Maximum Sharpe,25.0,0.00042127193275338535
2019-03-01,Equal Weight,0.0,0.0
2019-03-01,Equal Weight,5.0,0.0
2019-03-01,Equal Weight,10.0,0.0
2019-03-01,Equal Weight,25.0,0.0
2019-03-01,Minimum Variance,0.0,0.0
2019-03-01,Minimum Variance,5.0,4.203888314464464e-06
2019-03-01,Minimum Variance,10.0,8.407776628928928e-06
2019-03-01,Minimum Variance,25.0,2.101944157232232e-05
2019-03-01,SPY,0.0,0.0
2019-03-01,SPY,5.0,0.0
2019-03-01,SPY,10.0,0.0
2019-03-01,SPY,25.0,0.0
2019-03-01,Shrunk Max Sharpe λ=0.25,0.0,0.0
2019-03-01,Shrunk Max Sharpe λ=0.25,5.0,6.159125973620668e-05
2019-03-01,Shrunk Max Sharpe λ=0.25,10.0,0.00012318251947241336
2019-03-01,Shrunk Max Sharpe λ=0.25,25.0,0.00030795629868103343
2019-03-01,Shrunk Max Sharpe λ=0.50,0.0,0.0
2019-03-01,Shrunk Max Sharpe λ=0.50,5.0,1.2131266922518459e-05
2019-03-01,Shrunk Max Sharpe λ=0.50,10.0,2.4262533845036918e-05
2019-03-01,Shrunk Max Sharpe λ=0.50,25.0,6.06563346125923e-05
2019-03-01,Shrunk Max Sharpe λ=0.75,0.0,0.0
2019-03-01,Shrunk Max Sharpe λ=0.75,5.0,4.9067265007523965e-06
2019-03-01,Shrunk Max Sharpe λ=0.75,10.0,9.813453001504793e-06
2019-03-01,Shrunk Max Sharpe λ=0.75,25.0,2.4533632503761982e-05
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.0
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,5.0,5.542229416852898e-05
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.00011084458833705796
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.0002771114708426449
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.0
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,5.0,4.604519972731175e-05
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,10.0,9.20903994546235e-05
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.00023022599863655875
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.0
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,5.0,2.2602774921757905e-05
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,10.0,4.520554984351581e-05
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.00011301387460878952
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,9.407252909384278e-06
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,1.8814505818768557e-05
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,4.703626454692139e-05
2019-04-01,Maximum Sharpe,0.0,0.0
2019-04-01,Maximum Sharpe,5.0,0.00012324473489250314
2019-04-01,Maximum Sharpe,10.0,0.00024648946978500627
