date,strategy,cost_bps,turnover
2018-05-01,Minimum Variance,5.0,0.05715551767428882
2018-05-01,Minimum Variance,10.0,0.05715551767428882
2018-05-01,Minimum Variance,25.0,0.05715551767428882
2018-05-01,SPY,0.0,0.0
2018-05-01,SPY,5.0,0.0
2018-05-01,SPY,10.0,0.0
2018-05-01,SPY,25.0,0.0
2018-05-01,Shrunk Max Sharpe λ=0.25,0.0,0.07469369988612279
2018-05-01,Shrunk Max Sharpe λ=0.25,5.0,0.07469369988612279
2018-05-01,Shrunk Max Sharpe λ=0.25,10.0,0.07469369988612279
2018-05-01,Shrunk Max Sharpe λ=0.25,25.0,0.07469369988612279
2018-05-01,Shrunk Max Sharpe λ=0.50,0.0,0.054909452422907776
2018-05-01,Shrunk Max Sharpe λ=0.50,5.0,0.054909452422907776
2018-05-01,Shrunk Max Sharpe λ=0.50,10.0,0.054909452422907776
2018-05-01,Shrunk Max Sharpe λ=0.50,25.0,0.054909452422907776
2018-05-01,Shrunk Max Sharpe λ=0.75,0.0,0.06115466791707274
2018-05-01,Shrunk Max Sharpe λ=0.75,5.0,0.06115466791707274
2018-05-01,Shrunk Max Sharpe λ=0.75,10.0,0.06115466791707274
2018-05-01,Shrunk Max Sharpe λ=0.75,25.0,0.06115466791707274
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.12090551052022339
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.12090551052022339
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.12090551052022339
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.12090551052022339
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.057417186371146345
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.057417186371146345
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.057417186371146345
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.057417186371146345
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.03153063209033055
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.03153063209033055
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.03153063209033055
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.03153063209033055
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.027009726980986574
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.027009726980986574
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.027009726980986574
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.027009726980986574
2018-06-01,Maximum Sharpe,0.0,0.21871649329721754
2018-06-01,Maximum Sharpe,5.0,0.21871649329721754
2018-06-01,Maximum Sharpe,10.0,0.21871649329721754
2018-06-01,Maximum Sharpe,25.0,0.21871649329721754
2018-06-01,Equal Weight,0.0,0.0
2018-06-01,Equal Weight,5.0,0.0
2018-06-01,Equal Weight,10.0,0.0
2018-06-01,Equal Weight,25.0,0.0
2018-06-01,Minimum Variance,0.0,0.02342614132695273
2018-06-01,Minimum Variance,5.0,0.02342614132695273
2018-06-01,Minimum Variance,10.0,0.02342614132695273
2018-06-01,Minimum Variance,25.0,0.02342614132695273
2018-06-01,SPY,0.0,0.0
2018-06-01,SPY,5.0,0.0
2018-06-01,SPY,10.0,0.0
2018-06-01,SPY,25.0,0.0
2018-06-01,Shrunk Max Sharpe λ=0.25,0.0,0.17862471207191474
2018-06-01,Shrunk Max Sharpe λ=0.25,5.0,0.17862471207191474
2018-06-01,Shrunk Max Sharpe λ=0.25,10.0,0.17862471207191474
2018-06-01,Shrunk Max Sharpe λ=0.25,25.0,0.17862471207191474
2018-06-01,Shrunk Max Sharpe λ=0.50,0.0,0.07353021996272704
2018-06-01,Shrunk Max Sharpe λ=0.50,5.0,0.07353021996272704
2018-06-01,Shrunk Max Sharpe λ=0.50,10.0,0.07353021996272704
2018-06-01,Shrunk Max Sharpe λ=0.50,25.0,0.07353021996272704
2018-06-01,Shrunk Max Sharpe λ=0.75,0.0,0.03880201831866745
2018-06-01,Shrunk Max Sharpe λ=0.75,5.0,0.03880201831866745
2018-06-01,Shrunk Max Sharpe λ=0.75,10.0,0.03880201831866745
2018-06-01,Shrunk Max Sharpe λ=0.75,25.0,0.03880201831866745
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.18339285861289245
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.18339285861289245
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.18339285861289245
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.18339285861289245
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.08995062907713791
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.08995062907713791
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.08995062907713791
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.08995062907713791
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.03442422997662551
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.03442422997662551
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.03442422997662551
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.03442422997662551
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0548425781370783
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.0548425781370783
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.0548425781370783
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.0548425781370783
2018-08-01,Maximum Sharpe,0.0,0.3094012775555128
