date,strategy,cost_bps,turnover,transaction_cost,optimization_success
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.027214910478450496,6.803727619612624e-05,True
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.027078162156695937,0.0,True
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.027078162156695937,1.353908107834797e-05,True
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.027078162156695937,2.707816215669594e-05,True
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.027078162156695937,6.769540539173984e-05,True
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.060529693844235774,0.0,True
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.060529693844235774,3.026484692211789e-05,True
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.060529693844235774,6.052969384423578e-05,True
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.060529693844235774,0.00015132423461058944,True
2018-05-01,Maximum Sharpe,0.0,0.23245460017560537,0.0,True
2018-05-01,Maximum Sharpe,5.0,0.23245460017560537,0.0001162273000878027,True
2018-05-01,Maximum Sharpe,10.0,0.23245460017560537,0.0002324546001756054,True
2018-05-01,Maximum Sharpe,25.0,0.23245460017560537,0.0005811365004390135,True
2018-05-01,Equal Weight,0.0,0.0,0.0,True
2018-05-01,Equal Weight,5.0,0.0,0.0,True
2018-05-01,Equal Weight,10.0,0.0,0.0,True
2018-05-01,Equal Weight,25.0,0.0,0.0,True
2018-05-01,Minimum Variance,0.0,0.05715551767428882,0.0,True
2018-05-01,Minimum Variance,5.0,0.05715551767428882,2.857775883714441e-05,True
2018-05-01,Minimum Variance,10.0,0.05715551767428882,5.715551767428882e-05,True
2018-05-01,Minimum Variance,25.0,0.05715551767428882,0.00014288879418572205,True
2018-05-01,SPY,0.0,0.0,0.0,True
2018-05-01,SPY,5.0,0.0,0.0,True
2018-05-01,SPY,10.0,0.0,0.0,True
2018-05-01,SPY,25.0,0.0,0.0,True
2018-05-01,Shrunk Max Sharpe λ=0.25,0.0,0.07469369988612279,0.0,True
2018-05-01,Shrunk Max Sharpe λ=0.25,5.0,0.07469369988612279,3.73468499430614e-05,True
2018-05-01,Shrunk Max Sharpe λ=0.25,10.0,0.07469369988612279,7.46936998861228e-05,True
2018-05-01,Shrunk Max Sharpe λ=0.25,25.0,0.07469369988612279,0.00018673424971530698,True
2018-05-01,Shrunk Max Sharpe λ=0.50,0.0,0.054909452422907776,0.0,True
2018-05-01,Shrunk Max Sharpe λ=0.50,5.0,0.054909452422907776,2.745472621145389e-05,True
2018-05-01,Shrunk Max Sharpe λ=0.50,10.0,0.054909452422907776,5.490945242290778e-05,True
2018-05-01,Shrunk Max Sharpe λ=0.50,25.0,0.054909452422907776,0.00013727363105726944,True
2018-05-01,Shrunk Max Sharpe λ=0.75,0.0,0.06115466791707274,0.0,True
2018-05-01,Shrunk Max Sharpe λ=0.75,5.0,0.06115466791707274,3.057733395853637e-05,True
2018-05-01,Shrunk Max Sharpe λ=0.75,10.0,0.06115466791707274,6.115466791707274e-05,True
2018-05-01,Shrunk Max Sharpe λ=0.75,25.0,0.06115466791707274,0.00015288666979268185,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.12090551052022339,0.0,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.12090551052022339,6.04527552601117e-05,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.12090551052022339,0.0001209055105202234,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.12090551052022339,0.0003022637763005585,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.057417186371146345,0.0,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.057417186371146345,2.8708593185573175e-05,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.057417186371146345,5.741718637114635e-05,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.057417186371146345,0.00014354296592786585,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.03153063209033055,0.0,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.03153063209033055,1.5765316045165277e-05,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.03153063209033055,3.1530632090330555e-05,True
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.03153063209033055,7.882658022582638e-05,True
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.027009726980986574,0.0,True
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.027009726980986574,1.3504863490493287e-05,True
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.027009726980986574,2.7009726980986574e-05,True
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.027009726980986574,6.752431745246644e-05,True
2018-06-01,Maximum Sharpe,0.0,0.21871649329721754,0.0,True
2018-06-01,Maximum Sharpe,5.0,0.21871649329721754,0.00010935824664860877,True
2018-06-01,Maximum Sharpe,10.0,0.21871649329721754,0.00021871649329721754,True
2018-06-01,Maximum Sharpe,25.0,0.21871649329721754,0.0005467912332430438,True
2018-06-01,Equal Weight,0.0,0.0,0.0,True
2018-06-01,Equal Weight,5.0,0.0,0.0,True
2018-06-01,Equal Weight,10.0,0.0,0.0,True
2018-06-01,Equal Weight,25.0,0.0,0.0,True
2018-06-01,Minimum Variance,0.0,0.02342614132695273,0.0,True
2018-06-01,Minimum Variance,5.0,0.02342614132695273,1.1713070663476365e-05,True
2018-06-01,Minimum Variance,10.0,0.02342614132695273,2.342614132695273e-05,True
2018-06-01,Minimum Variance,25.0,0.02342614132695273,5.856535331738183e-05,True
2018-06-01,SPY,0.0,0.0,0.0,True
2018-06-01,SPY,5.0,0.0,0.0,True
2018-06-01,SPY,10.0,0.0,0.0,True
2018-06-01,SPY,25.0,0.0,0.0,True
2018-06-01,Shrunk Max Sharpe λ=0.25,0.0,0.17862471207191474,0.0,True
2018-06-01,Shrunk Max Sharpe λ=0.25,5.0,0.17862471207191474,8.931235603595738e-05,True
2018-06-01,Shrunk Max Sharpe λ=0.25,10.0,0.17862471207191474,0.00017862471207191475,True
2018-06-01,Shrunk Max Sharpe λ=0.25,25.0,0.17862471207191474,0.00044656178017978687,True
2018-06-01,Shrunk Max Sharpe λ=0.50,0.0,0.07353021996272704,0.0,True
2018-06-01,Shrunk Max Sharpe λ=0.50,5.0,0.07353021996272704,3.6765109981363526e-05,True
2018-06-01,Shrunk Max Sharpe λ=0.50,10.0,0.07353021996272704,7.353021996272705e-05,True
2018-06-01,Shrunk Max Sharpe λ=0.50,25.0,0.07353021996272704,0.00018382554990681763,True
2018-06-01,Shrunk Max Sharpe λ=0.75,0.0,0.03880201831866745,0.0,True
2018-06-01,Shrunk Max Sharpe λ=0.75,5.0,0.03880201831866745,1.9401009159333725e-05,True
2018-06-01,Shrunk Max Sharpe λ=0.75,10.0,0.03880201831866745,3.880201831866745e-05,True
2018-06-01,Shrunk Max Sharpe λ=0.75,25.0,0.03880201831866745,9.700504579666862e-05,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.18339285861289245,0.0,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.18339285861289245,9.169642930644622e-05,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.18339285861289245,0.00018339285861289245,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.18339285861289245,0.00045848214653223114,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.08995062907713791,0.0,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.08995062907713791,4.497531453856895e-05,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.08995062907713791,8.99506290771379e-05,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.08995062907713791,0.00022487657269284477,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.03442422997662551,0.0,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.03442422997662551,1.7212114988312756e-05,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.03442422997662551,3.442422997662551e-05,True
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.03442422997662551,8.606057494156377e-05,True
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.0548425781370783,0.0,True
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.0548425781370783,2.7421289068539153e-05,True
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.0548425781370783,5.4842578137078305e-05,True
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.0548425781370783,0.00013710644534269576,True
2018-08-01,Maximum Sharpe,0.0,0.3094012775555128,0.0,True
2018-08-01,Maximum Sharpe,5.0,0.3094012775555128,0.0001547006387777564,True
2018-08-01,Maximum Sharpe,10.0,0.3094012775555128,0.0003094012775555128,True
2018-08-01,Maximum Sharpe,25.0,0.3094012775555128,0.0007735031938887819,True
2018-08-01,Equal Weight,0.0,0.0,0.0,True
2018-08-01,Equal Weight,5.0,0.0,0.0,True
2018-08-01,Equal Weight,10.0,0.0,0.0,True
2018-08-01,Equal Weight,25.0,0.0,0.0,True
2018-08-01,Minimum Variance,0.0,0.016088820935505496,0.0,True
2018-08-01,Minimum Variance,5.0,0.016088820935505496,8.044410467752748e-06,True
2018-08-01,Minimum Variance,10.0,0.016088820935505496,1.6088820935505497e-05,True
2018-08-01,Minimum Variance,25.0,0.016088820935505496,4.0222052338763744e-05,True
2018-08-01,SPY,0.0,0.0,0.0,True
2018-08-01,SPY,5.0,0.0,0.0,True
2018-08-01,SPY,10.0,0.0,0.0,True
2018-08-01,SPY,25.0,0.0,0.0,True
2018-08-01,Shrunk Max Sharpe λ=0.25,0.0,0.08842102497551772,0.0,True
2018-08-01,Shrunk Max Sharpe λ=0.25,5.0,0.08842102497551772,4.421051248775886e-05,True
2018-08-01,Shrunk Max Sharpe λ=0.25,10.0,0.08842102497551772,8.842102497551772e-05,True
2018-08-01,Shrunk Max Sharpe λ=0.25,25.0,0.08842102497551772,0.0002210525624387943,True
2018-08-01,Shrunk Max Sharpe λ=0.50,0.0,0.18221521394723775,0.0,True
2018-08-01,Shrunk Max Sharpe λ=0.50,5.0,0.18221521394723775,9.110760697361888e-05,True
2018-08-01,Shrunk Max Sharpe λ=0.50,10.0,0.18221521394723775,0.00018221521394723775,True
2018-08-01,Shrunk Max Sharpe λ=0.50,25.0,0.18221521394723775,0.0004555380348680944,True
2018-08-01,Shrunk Max Sharpe λ=0.75,0.0,0.019864051606991603,0.0,True
2018-08-01,Shrunk Max Sharpe λ=0.75,5.0,0.019864051606991603,9.932025803495802e-06,True
2018-08-01,Shrunk Max Sharpe λ=0.75,10.0,0.019864051606991603,1.9864051606991604e-05,True
2018-08-01,Shrunk Max Sharpe λ=0.75,25.0,0.019864051606991603,4.966012901747901e-05,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.02169363129880206,0.0,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.02169363129880206,1.084681564940103e-05,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.02169363129880206,2.169363129880206e-05,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.02169363129880206,5.423407824700515e-05,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,0.0,3.829878836147597e-15,0.0,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,5.0,3.829878836147597e-15,1.9149394180737987e-18,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,10.0,3.829878836147597e-15,3.8298788361475974e-18,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,25.0,3.829878836147597e-15,9.574697090368992e-18,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,0.0,1.1327277019506862e-15,0.0,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,5.0,1.1327277019506862e-15,5.663638509753431e-19,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,10.0,1.1327277019506862e-15,1.1327277019506861e-18,True
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,25.0,1.1327277019506862e-15,2.8318192548767155e-18,True
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.05359436987319644,0.0,True
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.05359436987319644,2.6797184936598222e-05,True
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.05359436987319644,5.3594369873196445e-05,True
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.05359436987319644,0.0001339859246829911,True
2018-10-01,Maximum Sharpe,0.0,0.12074191278932503,0.0,True
2018-10-01,Maximum Sharpe,5.0,0.12074191278932503,6.0370956394662515e-05,True
2018-10-01,Maximum Sharpe,10.0,0.12074191278932503,0.00012074191278932503,True
2018-10-01,Maximum Sharpe,25.0,0.12074191278932503,0.0003018547819733126,True
2018-10-01,Equal Weight,0.0,0.0,0.0,True
2018-10-01,Equal Weight,5.0,0.0,0.0,True
2018-10-01,Equal Weight,10.0,0.0,0.0,True
2018-10-01,Equal Weight,25.0,0.0,0.0,True
2018-10-01,Minimum Variance,0.0,0.05556647180227851,0.0,True
2018-10-01,Minimum Variance,5.0,0.05556647180227851,2.7783235901139255e-05,True
2018-10-01,Minimum Variance,10.0,0.05556647180227851,5.556647180227851e-05,True
2018-10-01,Minimum Variance,25.0,0.05556647180227851,0.00013891617950569627,True
2018-10-01,SPY,0.0,0.0,0.0,True
2018-10-01,SPY,5.0,0.0,0.0,True
2018-10-01,SPY,10.0,0.0,0.0,True
2018-10-01,SPY,25.0,0.0,0.0,True
2018-10-01,Shrunk Max Sharpe λ=0.25,0.0,0.21756718799829683,0.0,True
2018-10-01,Shrunk Max Sharpe λ=0.25,5.0,0.21756718799829683,0.00010878359399914842,True
2018-10-01,Shrunk Max Sharpe λ=0.25,10.0,0.21756718799829683,0.00021756718799829683,True
2018-10-01,Shrunk Max Sharpe λ=0.25,25.0,0.21756718799829683,0.0005439179699957421,True
2018-10-01,Shrunk Max Sharpe λ=0.50,0.0,0.11322276874975117,0.0,True
2018-10-01,Shrunk Max Sharpe λ=0.50,5.0,0.11322276874975117,5.661138437487558e-05,True
2018-10-01,Shrunk Max Sharpe λ=0.50,10.0,0.11322276874975117,0.00011322276874975116,True
2018-10-01,Shrunk Max Sharpe λ=0.50,25.0,0.11322276874975117,0.0002830569218743779,True
2018-10-01,Shrunk Max Sharpe λ=0.75,0.0,0.04459014956706283,0.0,True
2018-10-01,Shrunk Max Sharpe λ=0.75,5.0,0.04459014956706283,2.2295074783531414e-05,True
2018-10-01,Shrunk Max Sharpe λ=0.75,10.0,0.04459014956706283,4.459014956706283e-05,True
2018-10-01,Shrunk Max Sharpe λ=0.75,25.0,0.04459014956706283,0.00011147537391765708,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.10227777131220235,0.0,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.10227777131220235,5.1138885656101175e-05,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.10227777131220235,0.00010227777131220235,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.10227777131220235,0.0002556944282805059,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.08636999289991658,0.0,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.08636999289991658,4.318499644995829e-05,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.08636999289991658,8.636999289991658e-05,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.08636999289991658,0.00021592498224979145,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,0.0,0.02112709689245707,0.0,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,5.0,0.02112709689245707,1.0563548446228537e-05,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,10.0,0.02112709689245707,2.1127096892457073e-05,True
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,25.0,0.02112709689245707,5.281774223114268e-05,True
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,0.11570482398252409,0.0,True
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.11570482398252409,5.7852411991262043e-05,True
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.11570482398252409,0.00011570482398252409,True
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.11570482398252409,0.00028926205995631024,True
2018-11-01,Maximum Sharpe,0.0,0.07415860084539866,0.0,True
2018-11-01,Maximum Sharpe,5.0,0.07415860084539866,3.707930042269933e-05,True
2018-11-01,Maximum Sharpe,10.0,0.07415860084539866,7.415860084539867e-05,True
2018-11-01,Maximum Sharpe,25.0,0.07415860084539866,0.00018539650211349664,True
2018-11-01,Equal Weight,0.0,0.0,0.0,True
2018-11-01,Equal Weight,5.0,0.0,0.0,True
2018-11-01,Equal Weight,10.0,0.0,0.0,True
2018-11-01,Equal Weight,25.0,0.0,0.0,True
2018-11-01,Minimum Variance,0.0,0.02277792272502065,0.0,True
2018-11-01,Minimum Variance,5.0,0.02277792272502065,1.1388961362510325e-05,True
2018-11-01,Minimum Variance,10.0,0.02277792272502065,2.277792272502065e-05,True
2018-11-01,Minimum Variance,25.0,0.02277792272502065,5.6944806812551626e-05,True
2018-11-01,SPY,0.0,0.0,0.0,True
2018-11-01,SPY,5.0,0.0,0.0,True
2018-11-01,SPY,10.0,0.0,0.0,True
2018-11-01,SPY,25.0,0.0,0.0,True
2018-11-01,Shrunk Max Sharpe λ=0.25,0.0,0.1340020425184889,0.0,True
2018-11-01,Shrunk Max Sharpe λ=0.25,5.0,0.1340020425184889,6.700102125924445e-05,True
2018-11-01,Shrunk Max Sharpe λ=0.25,10.0,0.1340020425184889,0.0001340020425184889,True
2018-11-01,Shrunk Max Sharpe λ=0.25,25.0,0.1340020425184889,0.0003350051062962223,True
2018-11-01,Shrunk Max Sharpe λ=0.50,0.0,0.03141726288470308,0.0,True
2018-11-01,Shrunk Max Sharpe λ=0.50,5.0,0.03141726288470308,1.570863144235154e-05,True
2018-11-01,Shrunk Max Sharpe λ=0.50,10.0,0.03141726288470308,3.141726288470308e-05,True
2018-11-01,Shrunk Max Sharpe λ=0.50,25.0,0.03141726288470308,7.854315721175771e-05,True
2018-11-01,Shrunk Max Sharpe λ=0.75,0.0,0.018286014986588512,0.0,True
2018-11-01,Shrunk Max Sharpe λ=0.75,5.0,0.018286014986588512,9.143007493294256e-06,True
2018-11-01,Shrunk Max Sharpe λ=0.75,10.0,0.018286014986588512,1.8286014986588512e-05,True
2018-11-01,Shrunk Max Sharpe λ=0.75,25.0,0.018286014986588512,4.571503746647128e-05,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,0.0,0.09512144169718162,0.0,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,5.0,0.09512144169718162,4.756072084859081e-05,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,10.0,0.09512144169718162,9.512144169718162e-05,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,25.0,0.09512144169718162,0.00023780360424295407,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,0.0,0.04568192515124485,0.0,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,5.0,0.04568192515124485,2.2840962575622425e-05,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,10.0,0.04568192515124485,4.568192515124485e-05,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,25.0,0.04568192515124485,0.00011420481287811212,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,0.0,2.1264250322685563e-15,0.0,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,5.0,2.1264250322685563e-15,1.0632125161342781e-18,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,10.0,2.1264250322685563e-15,2.1264250322685562e-18,True
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,25.0,2.1264250322685563e-15,5.316062580671391e-18,True
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0,4.4521621102127234e-14,0.0,True
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,4.4521621102127234e-14,2.2260810551063616e-17,True
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,4.4521621102127234e-14,4.452162110212723e-17,True
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,4.4521621102127234e-14,1.1130405275531808e-16,True
2019-02-01,Maximum Sharpe,0.0,0.20484224455734037,0.0,True
2019-02-01,Maximum Sharpe,5.0,0.20484224455734037,0.0001024211222786702,True
2019-02-01,Maximum Sharpe,10.0,0.20484224455734037,0.0002048422445573404,True
2019-02-01,Maximum Sharpe,25.0,0.20484224455734037,0.000512105611393351,True
2019-02-01,Equal Weight,0.0,0.0,0.0,True
