date,turnover,strategy
2020-04-01,0.5750571786567971,Maximum Sharpe
2025-05-01,0.3231635113370581,Maximum Sharpe
2018-08-01,0.3094028461217816,Maximum Sharpe
2023-05-01,0.29999999999999893,Maximum Sharpe
2023-08-01,0.28271885639470945,Maximum Sharpe
2019-10-01,0.27983975457931487,Maximum Sharpe
2025-12-01,0.2781806251103228,Maximum Sharpe
2019-04-01,0.2464922363464507,Maximum Sharpe
2018-05-01,0.23245845009545268,Maximum Sharpe
2018-06-01,0.21872273298583572,Maximum Sharpe
