date,strategy,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2018-09-24,Equal Weight,,,
2018-09-25,Equal Weight,,,
2018-09-26,Equal Weight,,,
2018-09-27,Equal Weight,,,
2018-09-28,Equal Weight,,,
2018-10-01,Equal Weight,,,
2018-10-02,Equal Weight,,,
2018-10-03,Equal Weight,,,
2018-10-04,Equal Weight,,,
2018-10-05,Equal Weight,,,
2018-10-08,Equal Weight,,,
2018-10-09,Equal Weight,,,
2018-10-10,Equal Weight,,,
2018-10-11,Equal Weight,,,
2018-10-12,Equal Weight,,,
2018-10-15,Equal Weight,,,
2018-10-16,Equal Weight,,,
2018-10-17,Equal Weight,,,
2018-10-18,Equal Weight,,,
2018-10-19,Equal Weight,,,
2018-10-22,Equal Weight,,,
2018-10-23,Equal Weight,,,
2018-10-24,Equal Weight,,,
2018-10-25,Equal Weight,,,
2018-10-26,Equal Weight,,,
2018-10-29,Equal Weight,,,
2018-10-30,Equal Weight,,,
2018-10-31,Equal Weight,,,
2018-11-01,Equal Weight,,,
2018-11-02,Equal Weight,,,
2018-11-05,Equal Weight,,,
2018-11-06,Equal Weight,,,
2018-11-07,Equal Weight,,,
2018-11-08,Equal Weight,,,
2018-11-09,Equal Weight,,,
2018-11-12,Equal Weight,,,
2018-11-13,Equal Weight,,,
2018-11-14,Equal Weight,,,
2018-11-15,Equal Weight,,,
2018-11-16,Equal Weight,,,
2018-11-19,Equal Weight,,,
2018-11-20,Equal Weight,,,
2018-11-21,Equal Weight,,,
2018-11-23,Equal Weight,,,
2018-11-26,Equal Weight,,,
2018-11-27,Equal Weight,,,
2018-11-28,Equal Weight,,,
2018-11-29,Equal Weight,,,
2018-11-30,Equal Weight,,,
2018-12-03,Equal Weight,,,
2018-12-04,Equal Weight,,,
2018-12-06,Equal Weight,,,
2018-12-07,Equal Weight,,,
2018-12-10,Equal Weight,,,
2018-12-11,Equal Weight,,,
2018-12-12,Equal Weight,,,
2018-12-13,Equal Weight,,,
2018-12-14,Equal Weight,,,
2018-12-17,Equal Weight,,,
2018-12-18,Equal Weight,,,
2018-12-19,Equal Weight,,,
2018-12-20,Equal Weight,,,
2018-12-21,Equal Weight,,,
2018-12-24,Equal Weight,,,
2018-12-26,Equal Weight,,,
2018-12-27,Equal Weight,,,
2018-12-28,Equal Weight,,,
2018-12-31,Equal Weight,,,
2019-01-02,Equal Weight,,,
2019-01-03,Equal Weight,,,
2019-01-04,Equal Weight,,,
2019-01-07,Equal Weight,,,
2019-01-08,Equal Weight,,,
2019-01-09,Equal Weight,,,
2019-01-10,Equal Weight,,,
2019-01-11,Equal Weight,,,
2019-01-14,Equal Weight,,,
2019-01-15,Equal Weight,,,
2019-01-16,Equal Weight,,,
2019-01-17,Equal Weight,,,
2019-01-18,Equal Weight,,,
2019-01-22,Equal Weight,,,
2019-01-23,Equal Weight,,,
2019-01-24,Equal Weight,,,
2019-01-25,Equal Weight,,,
2019-01-28,Equal Weight,,,
2019-01-29,Equal Weight,,,
2019-01-30,Equal Weight,,,
2019-01-31,Equal Weight,,,
2019-02-01,Equal Weight,-0.016518205532442543,0.09726419589183063,-0.3754537340035704
2019-02-04,Equal Weight,-0.007488379712840887,0.09713642052177428,-0.2829873652455522
2019-02-05,Equal Weight,0.012748968326999455,0.09616828834691259,-0.07539940449853431
2019-02-06,Equal Weight,0.030061024243166257,0.09399624389146363,0.10703644982648033
2019-02-07,Equal Weight,0.017645693843657995,0.09366387036471228,-0.025135691565752197
2019-02-08,Equal Weight,0.026977580011599445,0.09328067862153977,0.07480198594940568
2019-02-11,Equal Weight,0.047452219803141515,0.09103554244495378,0.30155496486156463
2019-02-12,Equal Weight,0.045344336689339126,0.09089773805854272,0.278822523317534
2019-02-13,Equal Weight,0.03600174559923808,0.09054407594639362,0.1767287967984992
2019-02-14,Equal Weight,0.035066190584463364,0.09051712728806381,0.1664457438702884
2019-02-15,Equal Weight,0.03267128775155914,0.09033888670991731,0.14026393520043345
2019-02-19,Equal Weight,0.02751680081326069,0.08999253985400778,0.0835269326263596
2019-02-20,Equal Weight,0.026444854499535708,0.08998418428491534,0.07162208059951379
2019-02-21,Equal Weight,0.02957569242730318,0.08979249013526425,0.10664246434059538
2019-02-22,Equal Weight,0.04168570727916476,0.08978603117572105,0.24152651581985476
2019-02-25,Equal Weight,0.039394114399431635,0.08974920875730773,0.2160923162217014
2019-02-26,Equal Weight,0.0286637745305649,0.08912192313753181,0.09721260746578678
2019-02-27,Equal Weight,0.018424816132571076,0.08904303440230119,-0.017690141379416158
2019-02-28,Equal Weight,0.028065726926174595,0.08819392838301901,0.09145444674088904
