stress_window,strategy,cumulative_return,max_drawdown,volatility
2020_covid,Equal Weight,-0.00698380260476994,-0.218683960238248,0.3159228761097891
2020_covid,Minimum Variance,-0.03533045219576658,-0.2713805349881163,0.4395282082253384
2020_covid,Maximum Sharpe,-0.07334185685615724,-0.3477913607785482,0.5336977495516264
2022_drawdown,Equal Weight,-0.11117404138238862,-0.1576831931937437,0.17211979258868668
2022_drawdown,Minimum Variance,-0.13528268132216126,-0.18634477212113665,0.20632611415198565
2022_drawdown,Maximum Sharpe,-0.07884737120157048,-0.18711931058036846,0.2619369427726797
