date,delta_annualized_return,weight_sensitivity
2018-02-01,0.01,1.7999999999999958
2018-02-01,-0.01,1.7999999999999956
2022-06-01,0.01,1.5798713018127264
2022-06-01,-0.01,1.203966281321122
