asset,mean_estimated_return,std_estimated_return,min_estimated_return,max_estimated_return,cv_estimated_return
TLT,-0.0014951438356555875,0.08502364656571854,-0.17475058495480492,0.1395800526709021,56.8665331977492
GLD,0.10391963827582133,0.07845048270667437,-0.0006133363767778053,0.3060456733367929,0.754914893934222
EEM,0.06822433664335865,0.06724664989903562,-0.06838629724442134,0.23775274823615847,0.9856695309558834
QQQ,0.2045105941872971,0.05715269861168044,0.10953944653369656,0.32132321551057524,0.2794608212782279
IWM,0.10911253122405454,0.05464079156633976,-0.022325633380798793,0.20683227703365886,0.5007746677064885
VNQ,0.07415412425525686,0.04558375169863954,-0.014937480739312966,0.18326311293703668,0.6147163378496519
LQD,0.026194898054890784,0.04455865064247087,-0.06509711126775741,0.0942106118811752,1.7010431019467716
EFA,0.0809218445316692,0.04245208816884037,-0.0044859845888887105,0.21136363124374863,0.5246060370290561
IEF,0.0075322724458003485,0.04154436769687501,-0.0777412249356746,0.06905607871131142,5.515515801614193
SPY,0.14832277091312773,0.036504305724024015,0.06984215883472905,0.23666573782495884,0.24611396820117723
