rebalance_date,strategy,asset,estimated_return
2018-06-01,Maximum Sharpe,TLT,0.027903947653985045
2018-06-01,Maximum Sharpe,QQQ,0.1681345338647284
2018-06-01,Maximum Sharpe,IEF,0.00543006136509869
2018-06-01,Maximum Sharpe,LQD,0.025945262257557545
2018-06-01,Maximum Sharpe,EFA,0.0523542131299583
2018-06-01,Maximum Sharpe,VNQ,0.05459387067185995
2018-06-01,Maximum Sharpe,EEM,0.0748186197155535
2018-06-01,Maximum Sharpe,IWM,0.1180094095751129
2018-06-01,Maximum Sharpe,SPY,0.11184838502845952
2018-08-01,Equal Weight,GLD,0.041667516034840195
2018-08-01,Equal Weight,TLT,0.023654375854925514
2018-08-01,Equal Weight,QQQ,0.17513792413799992
2018-08-01,Equal Weight,IEF,0.004671356332417993
2018-08-01,Equal Weight,LQD,0.03234024151540887
2018-08-01,Equal Weight,EFA,0.059806957758491576
2018-08-01,Equal Weight,VNQ,0.06759767558495282
2018-08-01,Equal Weight,EEM,0.10238109917543427
2018-08-01,Equal Weight,IWM,0.12681544208410558
2018-08-01,Equal Weight,SPY,0.12542642587547162
2018-08-01,Minimum Variance,GLD,0.041667516034840195
2018-08-01,Minimum Variance,TLT,0.023654375854925514
2018-08-01,Minimum Variance,QQQ,0.17513792413799992
2018-08-01,Minimum Variance,IEF,0.004671356332417993
2018-08-01,Minimum Variance,LQD,0.03234024151540887
2018-08-01,Minimum Variance,EFA,0.059806957758491576
2018-08-01,Minimum Variance,VNQ,0.06759767558495282
2018-08-01,Minimum Variance,EEM,0.10238109917543427
2018-08-01,Minimum Variance,IWM,0.12681544208410558
2018-08-01,Minimum Variance,SPY,0.12542642587547162
2018-08-01,Maximum Sharpe,GLD,0.041667516034840195
2018-08-01,Maximum Sharpe,TLT,0.023654375854925514
2018-08-01,Maximum Sharpe,QQQ,0.17513792413799992
2018-08-01,Maximum Sharpe,IEF,0.004671356332417993
2018-08-01,Maximum Sharpe,LQD,0.03234024151540887
2018-08-01,Maximum Sharpe,EFA,0.059806957758491576
2018-08-01,Maximum Sharpe,VNQ,0.06759767558495282
2018-08-01,Maximum Sharpe,EEM,0.10238109917543427
2018-08-01,Maximum Sharpe,IWM,0.12681544208410558
2018-08-01,Maximum Sharpe,SPY,0.12542642587547162
2018-10-01,Equal Weight,GLD,0.025949222092914323
2018-10-01,Equal Weight,TLT,0.013572985924013707
2018-10-01,Equal Weight,QQQ,0.22207439276041224
2018-10-01,Equal Weight,IEF,-0.0015792112959488135
2018-10-01,Equal Weight,LQD,0.030710539385203513
2018-10-01,Equal Weight,EFA,0.09514947506873067
2018-10-01,Equal Weight,VNQ,0.07771054697497591
2018-10-01,Equal Weight,EEM,0.12757234709956106
2018-10-01,Equal Weight,IWM,0.1705471000537333
2018-10-01,Equal Weight,SPY,0.16596381091080792
2018-10-01,Minimum Variance,GLD,0.025949222092914323
2018-10-01,Minimum Variance,TLT,0.013572985924013707
2018-10-01,Minimum Variance,QQQ,0.22207439276041224
2018-10-01,Minimum Variance,IEF,-0.0015792112959488135
2018-10-01,Minimum Variance,LQD,0.030710539385203513
2018-10-01,Minimum Variance,EFA,0.09514947506873067
2018-10-01,Minimum Variance,VNQ,0.07771054697497591
2018-10-01,Minimum Variance,EEM,0.12757234709956106
2018-10-01,Minimum Variance,IWM,0.1705471000537333
2018-10-01,Minimum Variance,SPY,0.16596381091080792
2018-10-01,Maximum Sharpe,GLD,0.025949222092914323
2018-10-01,Maximum Sharpe,TLT,0.013572985924013707
2018-10-01,Maximum Sharpe,QQQ,0.22207439276041224
2018-10-01,Maximum Sharpe,IEF,-0.0015792112959488135
2018-10-01,Maximum Sharpe,LQD,0.030710539385203513
2018-10-01,Maximum Sharpe,EFA,0.09514947506873067
2018-10-01,Maximum Sharpe,VNQ,0.07771054697497591
2018-10-01,Maximum Sharpe,EEM,0.12757234709956106
2018-10-01,Maximum Sharpe,IWM,0.1705471000537333
2018-10-01,Maximum Sharpe,SPY,0.16596381091080792
2018-11-01,Equal Weight,GLD,0.025311397919168782
2018-11-01,Equal Weight,TLT,0.004992094128151996
2018-11-01,Equal Weight,QQQ,0.15725488530194737
2018-11-01,Equal Weight,IEF,-0.0004716723252213943
2018-11-01,Equal Weight,LQD,0.021853436791298912
2018-11-01,Equal Weight,EFA,0.045579224145448585
2018-11-01,Equal Weight,VNQ,0.04941600534466599
2018-11-01,Equal Weight,EEM,0.07670979865921199
2018-11-01,Equal Weight,IWM,0.11364865193635276
2018-11-01,Equal Weight,SPY,0.11514442465885093
2018-11-01,Minimum Variance,GLD,0.025311397919168782
2018-11-01,Minimum Variance,TLT,0.004992094128151996
2018-11-01,Minimum Variance,QQQ,0.15725488530194737
2018-11-01,Minimum Variance,IEF,-0.0004716723252213943
2018-11-01,Minimum Variance,LQD,0.021853436791298912
2018-11-01,Minimum Variance,EFA,0.045579224145448585
2018-11-01,Minimum Variance,VNQ,0.04941600534466599
2018-11-01,Minimum Variance,EEM,0.07670979865921199
2018-11-01,Minimum Variance,IWM,0.11364865193635276
2018-11-01,Minimum Variance,SPY,0.11514442465885093
2018-11-01,Maximum Sharpe,GLD,0.025311397919168782
2018-11-01,Maximum Sharpe,TLT,0.004992094128151996
2018-11-01,Maximum Sharpe,QQQ,0.15725488530194737
2018-11-01,Maximum Sharpe,IEF,-0.0004716723252213943
2018-11-01,Maximum Sharpe,LQD,0.021853436791298912
2018-11-01,Maximum Sharpe,EFA,0.045579224145448585
2018-11-01,Maximum Sharpe,VNQ,0.04941600534466599
2018-11-01,Maximum Sharpe,EEM,0.07670979865921199
2018-11-01,Maximum Sharpe,IWM,0.11364865193635276
2018-11-01,Maximum Sharpe,SPY,0.11514442465885093
2019-02-01,Equal Weight,GLD,0.05867765710697307
2019-02-01,Equal Weight,TLT,0.016587821934716626
2019-02-01,Equal Weight,QQQ,0.18392667888865244
2019-02-01,Equal Weight,IEF,0.007295769864825946
2019-02-01,Equal Weight,LQD,0.041523753918738956
2019-02-01,Equal Weight,EFA,0.07930506471026148
2019-02-01,Equal Weight,VNQ,0.08198084949520365
2019-02-01,Equal Weight,EEM,0.151985172196628
2019-02-01,Equal Weight,IWM,0.14963214035427178
2019-02-01,Equal Weight,SPY,0.1385711021943951
2019-02-01,Minimum Variance,GLD,0.05867765710697307
2019-02-01,Minimum Variance,TLT,0.016587821934716626
2019-02-01,Minimum Variance,QQQ,0.18392667888865244
2019-02-01,Minimum Variance,IEF,0.007295769864825946
2019-02-01,Minimum Variance,LQD,0.041523753918738956
2019-02-01,Minimum Variance,EFA,0.07930506471026148
2019-02-01,Minimum Variance,VNQ,0.08198084949520365
2019-02-01,Minimum Variance,EEM,0.151985172196628
2019-02-01,Minimum Variance,IWM,0.14963214035427178
2019-02-01,Minimum Variance,SPY,0.1385711021943951
2019-02-01,Maximum Sharpe,GLD,0.05867765710697307
2019-02-01,Maximum Sharpe,TLT,0.016587821934716626
2019-02-01,Maximum Sharpe,QQQ,0.18392667888865244
2019-02-01,Maximum Sharpe,IEF,0.007295769864825946
2019-02-01,Maximum Sharpe,LQD,0.041523753918738956
2019-02-01,Maximum Sharpe,EFA,0.07930506471026148
2019-02-01,Maximum Sharpe,VNQ,0.08198084949520365
2019-02-01,Maximum Sharpe,EEM,0.151985172196628
2019-02-01,Maximum Sharpe,IWM,0.14963214035427178
2019-02-01,Maximum Sharpe,SPY,0.1385711021943951
2019-03-01,Equal Weight,GLD,0.02572324934083579
2019-03-01,Equal Weight,TLT,0.0030876462581667353
2019-03-01,Equal Weight,QQQ,0.19544458533033154
2019-03-01,Equal Weight,IEF,0.0011410956307132125
2019-03-01,Equal Weight,LQD,0.037564386273626
2019-03-01,Equal Weight,EFA,0.0965718372379299
2019-03-01,Equal Weight,VNQ,0.08377309334628043
2019-03-01,Equal Weight,EEM,0.15179659267821172
2019-03-01,Equal Weight,IWM,0.16531113987101456
2019-03-01,Equal Weight,SPY,0.1465079227658322
2019-03-01,Minimum Variance,GLD,0.02572324934083579
2019-03-01,Minimum Variance,TLT,0.0030876462581667353
2019-03-01,Minimum Variance,QQQ,0.19544458533033154
2019-03-01,Minimum Variance,IEF,0.0011410956307132125
2019-03-01,Minimum Variance,LQD,0.037564386273626
2019-03-01,Minimum Variance,EFA,0.0965718372379299
