strategy,avg_monthly_turnover,median_turnover,max_turnover,p95_turnover,annualized_approx_turnover
Equal Weight,0.0,0.0,0.0,0.0,0.0
Maximum Sharpe,0.10291302333836812,0.06752710217318453,0.5750571786567971,0.296543771278941,1.2349562800604175
Minimum Variance,0.02459008001618183,0.018007344515553927,0.23270658159987148,0.05762037776905459,0.29508096019418195
