date,asset,weight,marginal_risk_contribution,component_risk_contribution,pct_total_risk
2022-06-01,GLD,4.846517156342501e-16,0.01472509747266161,7.136543753007009e-18,2.9004393159811252e-15
2022-06-01,TLT,2.5879530317615013e-16,-0.05777175652141176,-1.4951059243977484e-17,-6.076420400074404e-15
2022-06-01,QQQ,0.098689345006153,0.23647955109770424,0.023338012005181524,9.485051856950554
2022-06-01,IEF,0.0,-0.020633398796725,-0.0,-0.0
2022-06-01,LQD,1.7948910674584774e-16,0.03669662419372597,6.5866442971199396e-18,2.676948778139268e-15
2022-06-01,EFA,0.0699044213265677,0.19572077900901955,0.013681747798210549,5.560545916718785
2022-06-01,VNQ,0.2314062336672793,0.24853241927080377,0.057511951087673846,23.374049098092716
2022-06-01,EEM,0.0,0.20010993992703402,0.0,0.0
2022-06-01,IWM,0.2999999999999996,0.27993574109819414,0.08398072232945814,34.131506406896285
2022-06-01,SPY,0.2999999999999993,0.22512669548265185,0.06753800864479541,27.44884672134166
