date,strategy,asset,weight
2018-08-01,Equal Weight,QQQ,0.1
2018-08-01,Equal Weight,IWM,0.1
2018-08-01,Equal Weight,EFA,0.1
2018-08-01,Equal Weight,EEM,0.1
2018-08-01,Equal Weight,TLT,0.1
2018-08-01,Equal Weight,IEF,0.1
2018-08-01,Equal Weight,LQD,0.1
2018-08-01,Equal Weight,GLD,0.1
2018-08-01,Equal Weight,VNQ,0.1
2018-08-01,Minimum Variance,SPY,0.1004734016348499
2018-08-01,Minimum Variance,QQQ,0.05150893057210106
2018-08-01,Minimum Variance,IWM,4.9869064769596944e-20
2018-08-01,Minimum Variance,EFA,0.3
2018-08-01,Minimum Variance,EEM,0.30000000000000004
2018-08-01,Minimum Variance,TLT,0.037629404025929875
2018-08-01,Minimum Variance,IEF,8.416225243037136e-18
2018-08-01,Minimum Variance,LQD,1.4350855708855987e-17
2018-08-01,Minimum Variance,GLD,0.03013438282285479
2018-08-01,Minimum Variance,VNQ,0.18025388094426434
2018-08-01,Maximum Sharpe,SPY,0.14542039731367304
2018-08-01,Maximum Sharpe,QQQ,0.0640781131332608
2018-08-01,Maximum Sharpe,IWM,0.30000000000000043
2018-08-01,Maximum Sharpe,EFA,0.0
2018-08-01,Maximum Sharpe,EEM,0.30000000000000043
2018-08-01,Maximum Sharpe,TLT,0.0
2018-08-01,Maximum Sharpe,IEF,0.0
2018-08-01,Maximum Sharpe,LQD,3.9531464399721686e-17
2018-08-01,Maximum Sharpe,GLD,0.011251118114301609
2018-08-01,Maximum Sharpe,VNQ,0.17925037143876354
2018-10-01,Equal Weight,SPY,0.1
2018-10-01,Equal Weight,QQQ,0.1
2018-10-01,Equal Weight,IWM,0.1
2018-10-01,Equal Weight,EFA,0.1
2018-10-01,Equal Weight,EEM,0.1
2018-10-01,Equal Weight,TLT,0.1
2018-10-01,Equal Weight,IEF,0.1
2018-10-01,Equal Weight,LQD,0.1
2018-10-01,Equal Weight,GLD,0.1
2018-10-01,Equal Weight,VNQ,0.1
2018-10-01,Minimum Variance,SPY,0.09703730851947287
2018-10-01,Minimum Variance,QQQ,0.039559597253428586
2018-10-01,Minimum Variance,IWM,0.0
2018-10-01,Minimum Variance,EFA,0.30000000000000004
2018-10-01,Minimum Variance,EEM,0.30000000000000004
2018-10-01,Minimum Variance,TLT,0.011056244294728998
2018-10-01,Minimum Variance,IEF,3.493531142668709e-17
2018-10-01,Minimum Variance,LQD,0.0
2018-10-01,Minimum Variance,GLD,0.016527860225943252
2018-10-01,Minimum Variance,VNQ,0.23581898970642623
2018-10-01,Maximum Sharpe,SPY,0.0848573728473373
2018-10-01,Maximum Sharpe,QQQ,0.052970025807183754
2018-10-01,Maximum Sharpe,IWM,0.2999999999999999
2018-10-01,Maximum Sharpe,EFA,0.0
2018-10-01,Maximum Sharpe,EEM,0.25697194464307344
2018-10-01,Maximum Sharpe,TLT,1.1626635292213843e-16
2018-10-01,Maximum Sharpe,IEF,0.0
2018-10-01,Maximum Sharpe,LQD,4.103904813267635e-16
2018-10-01,Maximum Sharpe,GLD,0.005200656702405351
2018-10-01,Maximum Sharpe,VNQ,0.2999999999999999
2018-11-01,Equal Weight,SPY,0.1
2018-11-01,Equal Weight,QQQ,0.1
2018-11-01,Equal Weight,IWM,0.1
2018-11-01,Equal Weight,EFA,0.1
2018-11-01,Equal Weight,EEM,0.1
2018-11-01,Equal Weight,TLT,0.1
2018-11-01,Equal Weight,IEF,0.1
2018-11-01,Equal Weight,LQD,0.1
2018-11-01,Equal Weight,GLD,0.1
2018-11-01,Equal Weight,VNQ,0.1
2018-11-01,Minimum Variance,SPY,0.10634285200111773
2018-11-01,Minimum Variance,QQQ,0.03871424737506998
2018-11-01,Minimum Variance,IWM,0.0
2018-11-01,Minimum Variance,EFA,0.3
2018-11-01,Minimum Variance,EEM,0.3
2018-11-01,Minimum Variance,TLT,0.02328828467083655
2018-11-01,Minimum Variance,IEF,0.0
2018-11-01,Minimum Variance,LQD,2.9365897200930476e-19
2018-11-01,Minimum Variance,GLD,0.01776652946733099
2018-11-01,Minimum Variance,VNQ,0.21388808648564483
2018-11-01,Maximum Sharpe,SPY,0.1571316581738866
2018-11-01,Maximum Sharpe,QQQ,0.0
2018-11-01,Maximum Sharpe,IWM,0.2999999999999999
2018-11-01,Maximum Sharpe,EFA,3.317362186274104e-17
2018-11-01,Maximum Sharpe,EEM,0.23578597639765558
2018-11-01,Maximum Sharpe,TLT,0.0
2018-11-01,Maximum Sharpe,IEF,0.0
2018-11-01,Maximum Sharpe,LQD,1.2198057945938133e-16
2018-11-01,Maximum Sharpe,GLD,0.0070823654284578
2018-11-01,Maximum Sharpe,VNQ,0.29999999999999993
2019-02-01,Equal Weight,SPY,0.1
2019-02-01,Equal Weight,QQQ,0.1
2019-02-01,Equal Weight,IWM,0.1
2019-02-01,Equal Weight,EFA,0.1
2019-02-01,Equal Weight,EEM,0.1
2019-02-01,Equal Weight,TLT,0.1
2019-02-01,Equal Weight,IEF,0.1
2019-02-01,Equal Weight,LQD,0.1
2019-02-01,Equal Weight,GLD,0.1
2019-02-01,Equal Weight,VNQ,0.1
2019-02-01,Minimum Variance,SPY,0.10473778368934285
2019-02-01,Minimum Variance,QQQ,0.056151451388757566
2019-02-01,Minimum Variance,IWM,3.3440860757599777e-18
2019-02-01,Minimum Variance,EFA,0.3
2019-02-01,Minimum Variance,EEM,0.2999999999999998
2019-02-01,Minimum Variance,TLT,0.051327296911915087
2019-02-01,Minimum Variance,IEF,2.1239562910638395e-17
2019-02-01,Minimum Variance,LQD,0.0
2019-02-01,Minimum Variance,GLD,0.02755236886661826
2019-02-01,Minimum Variance,VNQ,0.16023109914336645
2019-02-01,Maximum Sharpe,SPY,0.23148552479238357
2019-02-01,Maximum Sharpe,QQQ,9.64036255236497e-17
2019-02-01,Maximum Sharpe,IWM,0.22517030370182747
2019-02-01,Maximum Sharpe,EFA,8.556605072176774e-17
2019-02-01,Maximum Sharpe,EEM,0.29999999999999954
2019-02-01,Maximum Sharpe,TLT,2.052863757009602e-16
2019-02-01,Maximum Sharpe,IEF,9.912159543271114e-17
2019-02-01,Maximum Sharpe,LQD,0.0
2019-02-01,Maximum Sharpe,GLD,0.07336085325266432
2019-02-01,Maximum Sharpe,VNQ,0.16998331825312474
