Date,GLD,EFA,IWM,VNQ,EEM,SPY,TLT,LQD,QQQ,IEF
2015-01-05,0.015077149308345472,-0.02360523644623791,-0.013369336868510828,0.005472902126196111,-0.01779669190442723,-0.018059358162253125,0.015708955245556266,0.004089381944701209,-0.014668414994677414,0.006102383553701518
2015-01-06,0.011398960794795743,-0.011326989776682783,-0.017299958577287833,0.009918855132828641,-0.004202182959034628,-0.009419195117432722,0.018016773332871328,0.0040721531558829405,-0.013408870066299983,0.006717613563467895
2015-01-07,-0.005891414149803653,0.011114667636861641,0.01231468935601776,0.015331383555896139,0.021624525843085607,0.012461249556599663,-0.0019750491635475154,0.0013246048736810234,0.012891371284191377,-0.00018586204465753653
2015-01-08,-0.00420851895976293,0.013529755287178924,0.016962217820365222,0.0037748993414630228,0.01703671574218446,0.017744809375949133,-0.013242346365606283,-0.003223799246794057,0.01913982551084148,-0.004078388824895751
2015-01-09,0.011385196369055883,-0.0048392114358815075,-0.009603321369464068,0.00046978714587653236,-0.003299674470155556,-0.008013473408598482,0.010952221726278744,0.0026535939902896377,-0.006582826713629419,0.004932875816443083
2015-01-12,0.011086435260788896,-0.0023473545263241746,-0.0033171930473139266,0.007635849478706103,-0.008148508063827165,-0.007833471287853722,0.005722507249465769,0.0019022378255113548,-0.010426932601886874,0.0035194215101685966
2015-01-13,-0.003373767752371082,0.0050422538384418125,0.0007681177663780847,-0.0015154566399356861,0.008729031422916256,-0.002812809390117965,0.0,0.0009076544703645606,-0.0002954128083207941,0.000922514558303833
2015-01-14,-0.0016080097792615655,-0.0028430200481915913,-0.004007716631480696,0.00863919224691334,-0.005599243171343415,-0.006037124448571407,0.00758558003982035,0.0017326990639154882,-0.005515838298285947,0.004610521880382246
2015-01-15,0.025175902263040006,0.006372702855082402,-0.016866519154542958,0.0023153322177642544,0.002303414702142348,-0.009160260131448883,0.015735984964375005,0.0051872109879236294,-0.0129755664810014,0.008536438793761203
2015-01-16,0.013064281211881523,0.012997889514945848,0.016284734808414525,0.00866167449629729,0.008427027946081411,0.013114008504065966,-0.01274982398075264,-0.005570016588450133,0.011740933677184984,-0.007371640782313671
2015-01-20,0.013712049879254229,0.0034544657331447848,-0.004198653464673852,-0.007900112073826349,-0.0015193604671857042,0.0021330365417873143,0.01328947061542185,0.0023064608963310196,0.007935043426742006,0.002291927705187158
2015-01-21,0.00024159749942587183,0.007868852401376136,-0.0031840062620210885,-0.0006926541209272274,0.02206431242788165,0.00504761370158513,-0.011559030117471614,-0.0004110148188527507,0.005117042467308819,-0.004756821474446449
