Date,GLD,EFA,IWM,VNQ,EEM,SPY,TLT,LQD,QQQ,IEF
2015-01-02,114.08000183105469,43.09861755371094,102.54312133789062,52.09075164794922,30.198083877563477,169.6878204345703,91.93521881103516,79.44538116455078,94.56114196777344,81.74391174316406
2015-01-05,115.80000305175781,42.08126449584961,101.17218780517578,52.37583923339844,29.66065788269043,166.6233673095703,93.37942504882812,79.770263671875,93.17407989501953,82.24274444580078
2015-01-06,117.12000274658203,41.604610443115234,99.42191314697266,52.895347595214844,29.53601837158203,165.0539093017578,95.06182098388672,80.09510040283203,91.92472076416016,82.79521942138672
2015-01-07,116.43000030517578,42.06703186035156,100.6462631225586,53.70630645751953,30.174720764160156,167.11068725585938,94.87406921386719,80.2011947631836,93.10975646972656,82.77983093261719
2015-01-08,115.94000244140625,42.63618850708008,102.35344696044922,53.90904235839844,30.688798904418945,170.07603454589844,93.61771392822266,79.94264221191406,94.89186096191406,82.44222259521484
2015-01-09,117.26000213623047,42.42986297607422,101.37051391601562,53.93436813354492,30.587535858154297,168.713134765625,94.64303588867188,80.15477752685547,94.26720428466797,82.8488998413086
2015-01-12,118.55999755859375,42.330265045166016,101.03424835205078,54.3462028503418,30.338293075561523,167.3915252685547,95.18463134765625,80.3072509765625,93.28428649902344,83.1404800415039
2015-01-13,118.16000366210938,42.543704986572266,101.11185455322266,54.26384353637695,30.603116989135742,166.92068481445312,95.18463134765625,80.38014221191406,93.25672912597656,83.21717834472656
2015-01-14,117.97000122070312,42.422752380371094,100.70662689208984,54.73263931274414,30.4317626953125,165.9129638671875,95.90666198730469,80.51941680908203,92.74234008789062,83.6008529663086
2015-01-15,120.94000244140625,42.69309997558594,99.008056640625,54.8593635559082,30.501859664916992,164.39315795898438,97.41584777832031,80.93708801269531,91.53895568847656,84.31450653076172
2015-01-16,122.5199966430664,43.24802017211914,100.62037658691406,55.334537506103516,30.758899688720703,166.54901123046875,96.17381286621094,80.48626708984375,92.61370849609375,83.6929702758789
2015-01-20,124.19999694824219,43.39741897583008,100.19790649414062,54.89738845825195,30.71216583251953,166.90426635742188,97.45191192626953,80.67190551757812,93.34860229492188,83.8847885131836
