strategy,cost_bps,net_cagr,net_sharpe,net_cumulative_return,terminal_wealth,total_estimated_transaction_cost_drag,gross_terminal_wealth
SPY,5.0,0.14089110081954104,0.6320108452737143,2.0917914273218674,3.0917914273218674,0.0,3.0917914273218674
SPY,10.0,0.14089110081954104,0.6320108452737143,2.0917914273218674,3.0917914273218674,0.0,3.0917914273218674
SPY,25.0,0.14089110081954104,0.6320108452737143,2.0917914273218674,3.0917914273218674,0.0,3.0917914273218674
Equal Weight,5.0,0.08579446485009612,0.5259934176318279,1.02359915384352,2.02359915384352,0.0,2.02359915384352
Equal Weight,10.0,0.08579446485009612,0.5259934176318279,1.02359915384352,2.02359915384352,0.0,2.02359915384352
Equal Weight,25.0,0.08579446485009612,0.5259934176318279,1.02359915384352,2.02359915384352,0.0,2.02359915384352
Minimum Variance,5.0,0.057371584346966875,0.4643206532636466,0.6124013776133221,1.6124013776133221,0.0008070392977473057,1.6137038450384045
Minimum Variance,10.0,0.05727188592381727,0.4630769090814699,0.6110999205057235,1.6110999205057235,0.0016140785954946114,1.6137038450384045
Minimum Variance,25.0,0.05697282822933558,0.4593450682767409,0.6072016035365111,1.607201603536511,0.004035196488736529,1.6137038450384045
Maximum Sharpe,5.0,0.09659569020764325,0.5820866434384908,1.202612918781572,2.202612918781572,0.003395950249975895,2.2101014956310356
Maximum Sharpe,10.0,0.09616109760375746,0.5787847708130108,1.1951488770766363,2.1951488770766363,0.00679190049995179,2.2101014956310356
Maximum Sharpe,25.0,0.09485805967952476,0.5688760574602899,1.1729031869618307,2.1729031869618307,0.016979751249879476,2.2101014956310356
Shrunk Max Sharpe λ=0.25,5.0,0.0894553847377555,0.5814915524912291,1.0827772618828444,2.0827772618828444,0.0032134850203008516,2.089476106871509
Shrunk Max Sharpe λ=0.25,10.0,0.08904689557989443,0.5780760018874094,1.0760992210738705,2.0760992210738705,0.006426970040601703,2.089476106871509
Shrunk Max Sharpe λ=0.25,25.0,0.0878220999174033,0.5678257786409736,1.0561892986793922,2.056189298679392,0.016067425101504256,2.089476106871509
Shrunk Max Sharpe λ=0.50,5.0,0.08822978363203182,0.6304204559929755,1.0627976795963043,2.0627976795963043,0.00290317420484561,2.0687918688718088
Shrunk Max Sharpe λ=0.50,10.0,0.08786107683479205,0.6270155258078325,1.0568202886452203,2.0568202886452203,0.00580634840969122,2.0687918688718088
Shrunk Max Sharpe λ=0.50,25.0,0.08675549489278,0.6167955353857961,1.038988450863921,2.038988450863921,0.01451587102422805,2.0687918688718088
Shrunk Max Sharpe λ=0.75,5.0,0.08010449707155298,0.6173092122051703,0.9345675222991963,1.9345675222991963,0.00274647356344013,1.9398810943794922
Shrunk Max Sharpe λ=0.75,10.0,0.0797585588921399,0.6137750114188744,0.9292679412953271,1.929267941295327,0.00549294712688026,1.9398810943794922
Shrunk Max Sharpe λ=0.75,25.0,0.0787211881438925,0.6031627807272114,0.9134527909819763,1.9134527909819763,0.01373236781720065,1.9398810943794922
Turnover-Aware Max Sharpe γ=0.05,5.0,0.09735308502941087,0.586159418566059,1.2156746118744883,2.2156746118744883,0.0024668946257355383,2.221145085312876
Turnover-Aware Max Sharpe γ=0.05,10.0,0.09703710636339835,0.5837641998115458,1.210217091404051,2.210217091404051,0.004933789251471077,2.221145085312876
Turnover-Aware Max Sharpe γ=0.05,25.0,0.09608953528750463,0.5765759657655936,1.1939219530742782,2.193921953074278,0.01233447312867769,2.221145085312876
Turnover-Aware Max Sharpe γ=0.10,5.0,0.1012796845277315,0.6198766757730617,1.2844939021522128,2.284493902152213,0.001790088453703719,2.2885880378821413
Turnover-Aware Max Sharpe γ=0.10,10.0,0.10104942023343777,0.6181150399875351,1.2804066964859184,2.2804066964859184,0.003580176907407438,2.2885880378821413
Turnover-Aware Max Sharpe γ=0.10,25.0,0.10035878286912481,0.6128272474784794,1.2681865486175101,2.26818654861751,0.008950442268518597,2.2885880378821413
Turnover-Aware Max Sharpe γ=0.25,5.0,0.11297145571677825,0.7160531434565031,1.500723003794267,2.500723003794267,0.0010765925344372142,2.5034185415863877
Turnover-Aware Max Sharpe γ=0.25,10.0,0.11283143490814829,0.7149682861791312,1.4980301149602173,2.4980301149602173,0.0021531850688744285,2.5034185415863877
Turnover-Aware Max Sharpe γ=0.25,25.0,0.11241139904251529,0.7117110690807187,1.4899673182159305,2.4899673182159305,0.005382962672186071,2.5034185415863877
Combined Robust Max Sharpe λ=0.50 γ=0.10,5.0,0.09658607229207417,0.7037730823021507,1.202447490749892,2.202447490749892,0.0014866851148258352,2.2057272918057955
Combined Robust Max Sharpe λ=0.50 γ=0.10,10.0,0.09639552022091813,0.702007753264864,1.1991722590443072,2.1991722590443072,0.0029733702296516704,2.2057272918057955
Combined Robust Max Sharpe λ=0.50 γ=0.10,25.0,0.09582395521400455,0.696707344883929,1.1893739200495186,2.1893739200495186,0.007433425574129176,2.2057272918057955
