date,strategy,asset,weight
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,QQQ,0.2999999999999998
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,SPY,0.29999999999999993
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,TLT,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,VNQ,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,EEM,9.752634748604621e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,EFA,1.0636387601898823e-15
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,GLD,0.10000000000000171
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,IEF,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,IWM,4.961592473564669e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,LQD,0.29999999999999616
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,QQQ,0.2999999999999996
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,SPY,0.2999999999999994
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,TLT,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,VNQ,5.067055689374834e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,EEM,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,EFA,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,GLD,0.1000000000000024
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,IEF,0.10000000000000678
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,IWM,0.027081314250213685
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,LQD,0.10000000000000048
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,QQQ,0.299999999999999
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,SPY,0.299999999999999
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,TLT,0.07291868574977868
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,VNQ,0.0
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,4.412584556008028e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,4.298895144056875e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,GLD,0.08261198043570585
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.25575452697833817
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,2.2891692401742422e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.2999999999999935
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.21619523141720978
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,SPY,0.14543826116873382
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,3.5720833189204545e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,VNQ,4.3833798749839e-15
2018-03-01,Equal Weight,EEM,0.1
2018-03-01,Equal Weight,EFA,0.1
2018-03-01,Equal Weight,GLD,0.1
2018-03-01,Equal Weight,IEF,0.1
2018-03-01,Equal Weight,IWM,0.1
2018-03-01,Equal Weight,LQD,0.1
2018-03-01,Equal Weight,QQQ,0.1
2018-03-01,Equal Weight,SPY,0.1
2018-03-01,Equal Weight,TLT,0.1
2018-03-01,Equal Weight,VNQ,0.1
2018-03-01,Maximum Sharpe,EEM,2.0674796210506376e-17
2018-03-01,Maximum Sharpe,EFA,0.0
2018-03-01,Maximum Sharpe,GLD,0.17942948927422728
2018-03-01,Maximum Sharpe,IEF,0.0
2018-03-01,Maximum Sharpe,IWM,0.0
2018-03-01,Maximum Sharpe,LQD,0.23243497579538383
2018-03-01,Maximum Sharpe,QQQ,0.2999999999999999
2018-03-01,Maximum Sharpe,SPY,0.28813553493038896
2018-03-01,Maximum Sharpe,TLT,0.0
2018-03-01,Maximum Sharpe,VNQ,0.0
2018-03-01,Minimum Variance,EEM,0.0
2018-03-01,Minimum Variance,EFA,0.0
2018-03-01,Minimum Variance,GLD,0.11569445350215245
2018-03-01,Minimum Variance,IEF,0.3
2018-03-01,Minimum Variance,IWM,0.01883857823483624
2018-03-01,Minimum Variance,LQD,0.3
2018-03-01,Minimum Variance,QQQ,0.0
2018-03-01,Minimum Variance,SPY,0.24638682984948507
2018-03-01,Minimum Variance,TLT,0.01908013841352617
2018-03-01,Minimum Variance,VNQ,0.0
2018-03-01,SPY,EEM,0.0
2018-03-01,SPY,EFA,0.0
2018-03-01,SPY,GLD,0.0
2018-03-01,SPY,IEF,0.0
2018-03-01,SPY,IWM,0.0
2018-03-01,SPY,LQD,0.0
2018-03-01,SPY,QQQ,0.0
2018-03-01,SPY,SPY,1.0
2018-03-01,SPY,TLT,0.0
2018-03-01,SPY,VNQ,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,EEM,3.618313490462845e-16
2018-03-01,Shrunk Max Sharpe λ=0.25,EFA,5.523513673497974e-16
2018-03-01,Shrunk Max Sharpe λ=0.25,GLD,0.16678352351715472
2018-03-01,Shrunk Max Sharpe λ=0.25,IEF,0.04489362568934818
2018-03-01,Shrunk Max Sharpe λ=0.25,IWM,2.0243548502193489e-16
2018-03-01,Shrunk Max Sharpe λ=0.25,LQD,0.2999999999999978
2018-03-01,Shrunk Max Sharpe λ=0.25,QQQ,0.2999999999999997
2018-03-01,Shrunk Max Sharpe λ=0.25,SPY,0.1883228507934976
2018-03-01,Shrunk Max Sharpe λ=0.25,TLT,8.849086840569728e-16
2018-03-01,Shrunk Max Sharpe λ=0.25,VNQ,0.0
2018-03-01,Shrunk Max Sharpe λ=0.50,EEM,0.0
2018-03-01,Shrunk Max Sharpe λ=0.50,EFA,0.0
2018-03-01,Shrunk Max Sharpe λ=0.50,GLD,0.09358217698261939
2018-03-01,Shrunk Max Sharpe λ=0.50,IEF,0.26239002680858037
2018-03-01,Shrunk Max Sharpe λ=0.50,IWM,0.0
2018-03-01,Shrunk Max Sharpe λ=0.50,LQD,0.30000000000000443
2018-03-01,Shrunk Max Sharpe λ=0.50,QQQ,0.30000000000000443
2018-03-01,Shrunk Max Sharpe λ=0.50,SPY,0.04402779620879144
2018-03-01,Shrunk Max Sharpe λ=0.50,TLT,0.0
2018-03-01,Shrunk Max Sharpe λ=0.50,VNQ,0.0
2018-03-01,Shrunk Max Sharpe λ=0.75,EEM,4.805743999947268e-16
2018-03-01,Shrunk Max Sharpe λ=0.75,EFA,5.11478343581812e-16
2018-03-01,Shrunk Max Sharpe λ=0.75,GLD,0.10158353364881127
