strategy,max_drawdown,peak_date,trough_date,recovery_date,drawdown_duration_calendar_days,drawdown_duration_observations
Maximum Sharpe,-0.2557997382928744,2021-12-27,2022-10-14,2024-03-01,291,203
Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.22365761817395324,2021-12-27,2022-11-03,2023-12-01,311,217
