lookback_years,oos_cagr,oos_sharpe,oos_volatility,oos_max_drawdown,oos_observations,rebalance_count
1,0.08126298682702049,0.4499012138614242,0.13616986338225426,-0.29854453436398604,2158,67
2,0.0910433858376527,0.5365552331040467,0.1324064727253834,-0.26510868069551624,2158,67
3,0.0970304061679812,0.5853879585641643,0.13158864141469678,-0.2557997382928744,2158,67
5,0.12855333578127848,0.8356048261173273,0.12990989566883676,-0.2631831701829402,1614,52
