date,strategy,asset,weight
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,QQQ,0.29999999999999993
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,SPY,0.29999999999999966
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,TLT,6.245004513516505e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,VNQ,3.183331998677691e-16
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,EEM,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,EFA,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,GLD,0.09999999999999742
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,IEF,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,IWM,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,LQD,0.3000000000000009
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,QQQ,0.3000000000000009
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,SPY,0.3000000000000009
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,TLT,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,VNQ,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,EEM,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,EFA,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,GLD,0.1000000000000004
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,IEF,0.10000000000000119
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,IWM,0.0270813097132171
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,LQD,0.10000000000000055
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,QQQ,0.3
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,SPY,0.30000000000000004
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,TLT,0.07291869028678087
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,VNQ,0.0
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,4.2082523330062685e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,3.9619649932900754e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,GLD,0.08261197795988254
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.2557545293872813
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,4.90027990360681e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.29999999999999055
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.2161952137700587
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,SPY,0.14543827888276603
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,3.566998126852069e-15
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,VNQ,4.13655280985443e-15
2018-03-01,Equal Weight,EEM,0.1
2018-03-01,Equal Weight,EFA,0.1
2018-03-01,Equal Weight,GLD,0.1
2018-03-01,Equal Weight,IEF,0.1
2018-03-01,Equal Weight,IWM,0.1
2018-03-01,Equal Weight,LQD,0.1
2018-03-01,Equal Weight,QQQ,0.1
2018-03-01,Equal Weight,SPY,0.1
2018-03-01,Equal Weight,TLT,0.1
2018-03-01,Equal Weight,VNQ,0.1
2018-03-01,Maximum Sharpe,EEM,2.189426093839255e-16
2018-03-01,Maximum Sharpe,EFA,2.604688858050747e-16
2018-03-01,Maximum Sharpe,GLD,0.17942949718857423
2018-03-01,Maximum Sharpe,IEF,4.594495228560621e-17
2018-03-01,Maximum Sharpe,IWM,3.404231065300581e-17
2018-03-01,Maximum Sharpe,LQD,0.2324349585483988
2018-03-01,Maximum Sharpe,QQQ,0.29999999999999954
2018-03-01,Maximum Sharpe,SPY,0.28813554426302673
2018-03-01,Maximum Sharpe,TLT,4.8140580719134604e-17
2018-03-01,Maximum Sharpe,VNQ,1.30739065497726e-16
2018-03-01,Minimum Variance,EEM,1.4484426054783933e-17
2018-03-01,Minimum Variance,EFA,0.0
2018-03-01,Minimum Variance,GLD,0.1156944538229474
2018-03-01,Minimum Variance,IEF,0.3
2018-03-01,Minimum Variance,IWM,0.018838579181402783
2018-03-01,Minimum Variance,LQD,0.3
2018-03-01,Minimum Variance,QQQ,0.0
2018-03-01,Minimum Variance,SPY,0.2463868288957763
2018-03-01,Minimum Variance,TLT,0.01908013809987353
2018-03-01,Minimum Variance,VNQ,1.561735508097186e-17
2018-03-01,SPY,EEM,0.0
2018-03-01,SPY,EFA,0.0
2018-03-01,SPY,GLD,0.0
2018-03-01,SPY,IEF,0.0
2018-03-01,SPY,IWM,0.0
2018-03-01,SPY,LQD,0.0
2018-03-01,SPY,QQQ,0.0
2018-03-01,SPY,SPY,1.0
2018-03-01,SPY,TLT,0.0
2018-03-01,SPY,VNQ,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,EEM,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,EFA,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,GLD,0.16678352086757695
2018-03-01,Shrunk Max Sharpe λ=0.25,IEF,0.04489363872497222
2018-03-01,Shrunk Max Sharpe λ=0.25,IWM,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,LQD,0.2999999999999999
2018-03-01,Shrunk Max Sharpe λ=0.25,QQQ,0.2999999999999999
2018-03-01,Shrunk Max Sharpe λ=0.25,SPY,0.1883228404074508
2018-03-01,Shrunk Max Sharpe λ=0.25,TLT,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,VNQ,2.097541685792424e-16
2018-03-01,Shrunk Max Sharpe λ=0.50,EEM,2.5073615811184432e-14
2018-03-01,Shrunk Max Sharpe λ=0.50,EFA,1.914382741439249e-14
2018-03-01,Shrunk Max Sharpe λ=0.50,GLD,0.09358217641454267
2018-03-01,Shrunk Max Sharpe λ=0.50,IEF,0.2623900281177083
2018-03-01,Shrunk Max Sharpe λ=0.50,IWM,1.7029675471596955e-14
2018-03-01,Shrunk Max Sharpe λ=0.50,LQD,0.2999999999998383
2018-03-01,Shrunk Max Sharpe λ=0.50,QQQ,0.29999999999997123
2018-03-01,Shrunk Max Sharpe λ=0.50,SPY,0.04402779546776061
2018-03-01,Shrunk Max Sharpe λ=0.50,TLT,9.379323809554172e-14
2018-03-01,Shrunk Max Sharpe λ=0.50,VNQ,2.3887819923724087e-14
2018-03-01,Shrunk Max Sharpe λ=0.75,EEM,0.0
2018-03-01,Shrunk Max Sharpe λ=0.75,EFA,0.0
2018-03-01,Shrunk Max Sharpe λ=0.75,GLD,0.10158353185196674
2018-03-01,Shrunk Max Sharpe λ=0.75,IEF,0.2999999999999999
2018-03-01,Shrunk Max Sharpe λ=0.75,IWM,3.054000899820569e-16
2018-03-01,Shrunk Max Sharpe λ=0.75,LQD,0.2999999999999999
2018-03-01,Shrunk Max Sharpe λ=0.75,QQQ,0.06700999764903735
2018-03-01,Shrunk Max Sharpe λ=0.75,SPY,0.23140647049899604
2018-03-01,Shrunk Max Sharpe λ=0.75,TLT,0.0
2018-03-01,Shrunk Max Sharpe λ=0.75,VNQ,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,EEM,1.9359876930388702e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,EFA,1.7074873548049811e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,GLD,0.1515289524276593
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,IEF,3.530659007152626e-16
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,IWM,2.4026258531127036e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,LQD,0.2710588283745485
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,QQQ,0.2999999999999986
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,SPY,0.2774122191977857
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,TLT,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,VNQ,1.6343575265719768e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,EEM,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,EFA,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,GLD,0.12721321543014724
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,IEF,1.8426319529466474e-16
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,IWM,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,LQD,0.30000000000000027
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,QQQ,0.30000000000000027
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,SPY,0.27278678456985206
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,TLT,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,VNQ,0.0
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,EEM,3.747623813823969e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,EFA,2.731202492145617e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,GLD,0.12708130971321635
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,IEF,0.09999999999999894
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,IWM,5.388051116383961e-15
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,LQD,0.09999999999999881
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,QQQ,0.29999999999999677
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,SPY,0.29999999999999566
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,TLT,0.07291869028677804
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,VNQ,3.472474234723549e-15
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,2.635639423517755e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,1.888560003195465e-14
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,GLD,0.10962232967011461
