lookback_years,oos_cagr,oos_sharpe,oos_volatility,oos_max_drawdown,oos_observations,rebalance_count
1,0.08126298665463083,0.4499012129383465,0.13616986327846636,-0.2985445348172553,2158,67
2,0.09104338569601778,0.5365552316149401,0.13240647282888146,-0.2651086796661435,2158,67
3,0.09703040997406953,0.5853879908297653,0.13158864066357398,-0.2557997296251342,2158,67
5,0.12855333633188382,0.8356048287970417,0.12990989591115695,-0.2631831706047298,1614,52
