rebalance_date,strategy,turnover
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0
2018-02-01,Equal Weight,0.0
2018-02-01,Maximum Sharpe,0.0
2018-02-01,Minimum Variance,0.0
2018-02-01,SPY,0.0
2018-02-01,Shrunk Max Sharpe λ=0.25,0.0
2018-02-01,Shrunk Max Sharpe λ=0.50,0.0
2018-02-01,Shrunk Max Sharpe λ=0.75,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.05,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.10,0.0
2018-02-01,Turnover-Aware Max Sharpe γ=0.25,0.0
2018-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.06052373032122023
2018-03-01,Equal Weight,0.0
2018-03-01,Maximum Sharpe,0.0794294971885775
2018-03-01,Minimum Variance,0.035421395163989886
2018-03-01,SPY,0.0
2018-03-01,Shrunk Max Sharpe λ=0.25,0.052761412853493735
2018-03-01,Shrunk Max Sharpe λ=0.50,0.18240820840770464
2018-03-01,Shrunk Max Sharpe λ=0.75,0.06859352950100661
2018-03-01,Turnover-Aware Max Sharpe γ=0.05,0.0515289524276661
2018-03-01,Turnover-Aware Max Sharpe γ=0.10,0.02721321543015002
2018-03-01,Turnover-Aware Max Sharpe γ=0.25,0.027081309713226018
2018-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.027010351710346346
2018-05-01,Equal Weight,0.0
2018-05-01,Maximum Sharpe,0.23243495854839902
2018-05-01,Minimum Variance,0.057159542973879734
2018-05-01,SPY,0.0
2018-05-01,Shrunk Max Sharpe λ=0.25,0.0746917573590504
2018-05-01,Shrunk Max Sharpe λ=0.50,0.05491135018927171
2018-05-01,Shrunk Max Sharpe λ=0.75,0.06115108801117695
2018-05-01,Turnover-Aware Max Sharpe γ=0.05,0.12090498051894039
2018-05-01,Turnover-Aware Max Sharpe γ=0.10,0.057420762670390056
2018-05-01,Turnover-Aware Max Sharpe γ=0.25,0.0315264957424976
2018-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.05484478650136909
2018-06-01,Equal Weight,0.0
2018-06-01,Maximum Sharpe,0.21871699516343052
2018-06-01,Minimum Variance,0.02342651599381255
2018-06-01,SPY,0.0
2018-06-01,Shrunk Max Sharpe λ=0.25,0.1786285945374463
2018-06-01,Shrunk Max Sharpe λ=0.50,0.07352969287041067
2018-06-01,Shrunk Max Sharpe λ=0.75,0.03880245464137562
2018-06-01,Turnover-Aware Max Sharpe γ=0.05,0.1833833773161627
2018-06-01,Turnover-Aware Max Sharpe γ=0.10,0.08994831484367265
2018-06-01,Turnover-Aware Max Sharpe γ=0.25,0.03441780891627461
2018-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.053589694467435375
2018-08-01,Equal Weight,0.0
2018-08-01,Maximum Sharpe,0.3094019070546989
2018-08-01,Minimum Variance,0.016090281006664982
2018-08-01,SPY,0.0
2018-08-01,Shrunk Max Sharpe λ=0.25,0.08841965029808638
2018-08-01,Shrunk Max Sharpe λ=0.50,0.18221522187338396
2018-08-01,Shrunk Max Sharpe λ=0.75,0.019861748205485627
2018-08-01,Turnover-Aware Max Sharpe γ=0.05,0.021692559276890552
2018-08-01,Turnover-Aware Max Sharpe γ=0.10,3.0022437799165253e-15
2018-08-01,Turnover-Aware Max Sharpe γ=0.25,2.2159105270716257e-15
2018-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.1157043708836688
2018-10-01,Equal Weight,0.0
2018-10-01,Maximum Sharpe,0.12074439895079528
2018-10-01,Minimum Variance,0.05556763455549438
2018-10-01,SPY,0.0
2018-10-01,Shrunk Max Sharpe λ=0.25,0.21761752746377147
2018-10-01,Shrunk Max Sharpe λ=0.50,0.11322494053157688
2018-10-01,Shrunk Max Sharpe λ=0.75,0.04459165464791908
2018-10-01,Turnover-Aware Max Sharpe γ=0.05,0.10226724235028646
2018-10-01,Turnover-Aware Max Sharpe γ=0.10,0.08637011122433312
2018-10-01,Turnover-Aware Max Sharpe γ=0.25,0.021125195078708258
2018-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,3.605056890367477e-15
2018-11-01,Equal Weight,0.0
2018-11-01,Maximum Sharpe,0.07415947933526618
2018-11-01,Minimum Variance,0.022776285889803335
2018-11-01,SPY,0.0
2018-11-01,Shrunk Max Sharpe λ=0.25,0.1340147849211603
2018-11-01,Shrunk Max Sharpe λ=0.50,0.031413838306816634
2018-11-01,Shrunk Max Sharpe λ=0.75,0.01828706748374444
2018-11-01,Turnover-Aware Max Sharpe γ=0.05,0.09511984212307656
2018-11-01,Turnover-Aware Max Sharpe γ=0.10,0.04567878227304632
2018-11-01,Turnover-Aware Max Sharpe γ=0.25,7.72978123427669e-16
2019-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.07931772587736192
2019-02-01,Equal Weight,0.0
2019-02-01,Maximum Sharpe,0.20484024507817628
2019-02-01,Minimum Variance,0.05526331049220994
2019-02-01,SPY,0.0
2019-02-01,Shrunk Max Sharpe λ=0.25,0.2758561603038956
2019-02-01,Shrunk Max Sharpe λ=0.50,0.09196360574789353
2019-02-01,Shrunk Max Sharpe λ=0.75,0.07175296192048917
2019-02-01,Turnover-Aware Max Sharpe γ=0.05,0.19205097938451896
2019-02-01,Turnover-Aware Max Sharpe γ=0.10,0.12027513558328717
2019-02-01,Turnover-Aware Max Sharpe γ=0.25,0.04524713322151609
2019-03-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.018814851462390182
2019-03-01,Equal Weight,0.0
2019-03-01,Maximum Sharpe,0.168516426556983
2019-03-01,Minimum Variance,0.008409242753232148
2019-03-01,SPY,0.0
2019-03-01,Shrunk Max Sharpe λ=0.25,0.12318044800095056
2019-03-01,Shrunk Max Sharpe λ=0.50,0.02426288931747534
2019-03-01,Shrunk Max Sharpe λ=0.75,0.009811739301065608
2019-03-01,Turnover-Aware Max Sharpe γ=0.05,0.11084450788648452
2019-03-01,Turnover-Aware Max Sharpe γ=0.10,0.09209071448150251
2019-03-01,Turnover-Aware Max Sharpe γ=0.25,0.04520450069089188
2019-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.005925989609531302
2019-04-01,Equal Weight,0.0
2019-04-01,Maximum Sharpe,0.24648511661769518
2019-04-01,Minimum Variance,0.026396903084338022
2019-04-01,SPY,0.0
2019-04-01,Shrunk Max Sharpe λ=0.25,0.1413166263536541
2019-04-01,Shrunk Max Sharpe λ=0.50,0.04463994442488199
2019-04-01,Shrunk Max Sharpe λ=0.75,0.008368976124237622
2019-04-01,Turnover-Aware Max Sharpe γ=0.05,0.13977208315480605
2019-04-01,Turnover-Aware Max Sharpe γ=0.10,0.137508804370723
2019-04-01,Turnover-Aware Max Sharpe γ=0.25,0.011424104580151546
2019-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.05995580139411419
2019-05-01,Equal Weight,0.0
2019-05-01,Maximum Sharpe,0.03516343999777858
2019-05-01,Minimum Variance,0.004408129720419214
2019-05-01,SPY,0.0
2019-05-01,Shrunk Max Sharpe λ=0.25,0.12807863577248974
2019-05-01,Shrunk Max Sharpe λ=0.50,0.057042610212892496
2019-05-01,Shrunk Max Sharpe λ=0.75,0.028179653002379373
2019-05-01,Turnover-Aware Max Sharpe γ=0.05,0.0841404934724313
2019-05-01,Turnover-Aware Max Sharpe γ=0.10,0.07127145147716733
2019-05-01,Turnover-Aware Max Sharpe γ=0.25,0.1056190284499991
2019-07-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.016411508936413827
2019-07-01,Equal Weight,0.0
2019-07-01,Maximum Sharpe,0.1997087651117435
2019-07-01,Minimum Variance,0.007616591581455901
2019-07-01,SPY,0.0
2019-07-01,Shrunk Max Sharpe λ=0.25,0.0914431785628642
2019-07-01,Shrunk Max Sharpe λ=0.50,0.05946409840225341
2019-07-01,Shrunk Max Sharpe λ=0.75,0.02844189019793432
2019-07-01,Turnover-Aware Max Sharpe γ=0.05,0.016917984918207212
2019-07-01,Turnover-Aware Max Sharpe γ=0.10,6.071966786687583e-16
2019-07-01,Turnover-Aware Max Sharpe γ=0.25,0.05974065393284699
2019-08-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.02193840376082508
2019-08-01,Equal Weight,0.0
2019-08-01,Maximum Sharpe,0.049676305066356265
2019-08-01,Minimum Variance,0.011340526123117277
2019-08-01,SPY,0.0
2019-08-01,Shrunk Max Sharpe λ=0.25,0.03496548477265109
2019-08-01,Shrunk Max Sharpe λ=0.50,0.017796410114050053
2019-08-01,Shrunk Max Sharpe λ=0.75,0.03042577688615576
2019-08-01,Turnover-Aware Max Sharpe γ=0.05,0.09818801294038759
2019-08-01,Turnover-Aware Max Sharpe γ=0.10,0.006855235095077849
2019-08-01,Turnover-Aware Max Sharpe γ=0.25,0.006589041836755278
2019-10-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.045015882683261586
2019-10-01,Equal Weight,0.0
2019-10-01,Maximum Sharpe,0.2798334989321887
2019-10-01,Minimum Variance,0.05773579310805572
2019-10-01,SPY,0.0
2019-10-01,Shrunk Max Sharpe λ=0.25,0.21184856928808254
2019-10-01,Shrunk Max Sharpe λ=0.50,0.03773830754078856
2019-10-01,Shrunk Max Sharpe λ=0.75,0.017259178597172214
2019-10-01,Turnover-Aware Max Sharpe γ=0.05,0.19023054823583832
2019-10-01,Turnover-Aware Max Sharpe γ=0.10,0.11071827495922218
2019-10-01,Turnover-Aware Max Sharpe γ=0.25,0.05030700115125185
2019-11-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.012895977395714119
2019-11-01,Equal Weight,0.0
2019-11-01,Maximum Sharpe,0.06752609033553322
2019-11-01,Minimum Variance,0.01897430384619033
2019-11-01,SPY,0.0
2019-11-01,Shrunk Max Sharpe λ=0.25,0.03652049041204985
2019-11-01,Shrunk Max Sharpe λ=0.50,0.027761404126238523
2019-11-01,Shrunk Max Sharpe λ=0.75,0.057335249895257574
2019-11-01,Turnover-Aware Max Sharpe γ=0.05,0.08022892484401242
2019-11-01,Turnover-Aware Max Sharpe γ=0.10,0.06505908495211525
2019-11-01,Turnover-Aware Max Sharpe γ=0.25,0.07205814088005795
2020-04-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,0.5770525787695734
2020-04-01,Equal Weight,0.0
2020-04-01,Maximum Sharpe,0.5750558744597043
2020-04-01,Minimum Variance,0.23270703023708622
2020-04-01,SPY,0.0
2020-04-01,Shrunk Max Sharpe λ=0.25,0.6000000000000227
2020-04-01,Shrunk Max Sharpe λ=0.50,0.5725908882478883
2020-04-01,Shrunk Max Sharpe λ=0.75,0.5427760335525625
2020-04-01,Turnover-Aware Max Sharpe γ=0.05,0.5831507745067529
2020-04-01,Turnover-Aware Max Sharpe γ=0.10,0.5895232528929685
2020-04-01,Turnover-Aware Max Sharpe γ=0.25,0.5087658658151164
2020-05-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,1.9641066432604533e-15
2020-05-01,Equal Weight,0.0
2020-05-01,Maximum Sharpe,0.002394252225061677
2020-05-01,Minimum Variance,0.029525851897663838
2020-05-01,SPY,0.0
2020-05-01,Shrunk Max Sharpe λ=0.25,0.0016366729225103793
2020-05-01,Shrunk Max Sharpe λ=0.50,0.0056985896651344965
2020-05-01,Shrunk Max Sharpe λ=0.75,0.091895070539794
2020-05-01,Turnover-Aware Max Sharpe γ=0.05,4.4727524672347645e-14
2020-05-01,Turnover-Aware Max Sharpe γ=0.10,3.6256554578994436e-13
2020-05-01,Turnover-Aware Max Sharpe γ=0.25,4.77481159351748e-13
2020-06-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,3.575124181637439e-05
2020-06-01,Equal Weight,0.0
2020-06-01,Maximum Sharpe,0.0013556227351854827
2020-06-01,Minimum Variance,0.00977621875054003
2020-06-01,SPY,0.0
2020-06-01,Shrunk Max Sharpe λ=0.25,0.003079312995433842
2020-06-01,Shrunk Max Sharpe λ=0.50,0.01636840766403719
2020-06-01,Shrunk Max Sharpe λ=0.75,0.05947696002937324
2020-06-01,Turnover-Aware Max Sharpe γ=0.05,0.0008944334824680196
2020-06-01,Turnover-Aware Max Sharpe γ=0.10,2.119360242899717e-13
2020-06-01,Turnover-Aware Max Sharpe γ=0.25,1.1592637497345655e-13
