portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,cumulative_return,calmar
SPY,0.14089110081954104,0.19128010495956746,0.6320108452737143,0.5948069084096242,-0.3371727919657733,2.095304124881086,0.41786023124262944
Equal Weight,0.08579446485009612,0.1250860992639823,0.5259934176318279,0.4951359061513661,-0.2551941684939265,1.035707443578418,0.33619288934550234
Minimum Variance,0.05747128903338106,0.08048574509506537,0.46556429326860316,0.4472032277499924,-0.22199575923770498,0.6184762877342478,0.25888462568261444
Maximum Sharpe,0.0970304061679812,0.13158864141469678,0.5853879585641643,0.5536507243677337,-0.2557997382928744,1.2187251375610635,0.3793217569944797
