strategy,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,realized_95_var_loss,realized_95_cvar_loss,sample_start,sample_end,n_obs,scenario
Minimum CVaR,0.0595404743782093,0.0816142135873769,0.484480247253463,0.463996552083034,-0.212205717823658,0.280579029579623,0.0079009564947409,0.0115662817482273,2018-02-01,2026-09-02,2158,gross
SPY,0.140891100819541,0.191280104959567,0.632010845273715,0.594806908409624,-0.337172791965773,0.417860231242629,0.0177096110380425,0.0290584018887836,2018-02-01,2026-09-02,2158,gross
Equal Weight,0.085794464850095,0.125086099263982,0.525993417631821,0.495135906151359,-0.255194168493925,0.336192889345501,0.0118948929808493,0.0183180827074278,2018-02-01,2026-09-02,2158,gross
Minimum Variance,0.0574712890333797,0.0804857450950648,0.46556429326859,0.447203227749979,-0.221995759237705,0.258884625682609,0.0077983967494215,0.0114885832542066,2018-02-01,2026-09-02,2158,gross
Maximum Sharpe,0.0970304061679808,0.131588641414696,0.585387958564163,0.553650724367733,-0.255799738292873,0.37932175699448,0.0136599140680476,0.0196575663881671,2018-02-01,2026-09-02,2158,gross
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0967766395702145,0.108820044160356,0.705537662317773,0.684938306794967,-0.223657618173953,0.432699947179734,0.0106449915308005,0.0161202606372233,2018-02-01,2026-09-02,2158,gross
Inverse Volatility,0.0695863617569565,0.0986926678001043,0.502432073853658,0.471942611305666,-0.235633362995075,0.295316252641231,0.0092261125445431,0.0143783826907525,2018-02-01,2026-09-02,2158,gross
Equal Risk Contribution,0.0637810529362905,0.0929399160503049,0.471068350358671,0.443457628899998,-0.237623550164054,0.268412170814957,0.0089567423529594,0.0135473112658394,2018-02-01,2026-09-02,2158,gross
