strategy,annualized_return,annualized_volatility,sharpe,max_drawdown,realized_95_var_loss,realized_95_cvar_loss,turnover,COVID_cumulative_return,COVID_max_drawdown,2022_cumulative_return,2022_max_drawdown
Minimum CVaR,0.0595404743782093,0.0816142135873769,0.484480247253463,-0.212205717823658,0.0079009564947409,0.0115662817482273,0.875593101128048,-0.0030389466788511,-0.149361942976566,-0.198230189508076,-0.206230398370672
SPY,0.140891100819541,0.191280104959567,0.632010845273715,-0.337172791965773,0.0177096110380425,0.0290584018887836,0.0,-0.136406694594619,-0.334438565659494,-0.177443037359229,-0.244963870715085
Equal Weight,0.085794464850095,0.125086099263982,0.525993417631821,-0.255194168493925,0.0118948929808493,0.0183180827074278,0.0,-0.067318825298102,-0.218683939216796,-0.222829747015975,-0.248421181205449
Minimum Variance,0.0574712890333797,0.0804857450950648,0.46556429326859,-0.221995759237705,0.0077983967494215,0.0114885832542066,0.289088703670677,-0.0055832413052217,-0.149355530139458,-0.201753308461578,-0.209696602315531
Maximum Sharpe,0.0970304061679808,0.131588641414696,0.585387958564163,-0.255799738292873,0.0136599140680476,0.0196575663881671,1.21645979103614,-0.0319944236354498,-0.177489370990397,-0.214599089826117,-0.245278700904876
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0967766395702145,0.108820044160356,0.705537662317773,-0.223657618173953,0.0106449915308005,0.0161202606372233,0.532543921728657,-0.0065159257461721,-0.144037538435122,-0.194944155235455,-0.211007270899733
Inverse Volatility,0.0695863617569565,0.0986926678001043,0.502432073853658,-0.235633362995075,0.0092261125445431,0.0143783826907525,0.0868650900305256,-0.0309440079250431,-0.174850660388425,-0.210703965380187,-0.22637170549897
Equal Risk Contribution,0.0637810529362905,0.0929399160503049,0.471068350358671,-0.237623550164054,0.0089567423529594,0.0135473112658394,0.106709267246381,-0.0200789572996043,-0.154400760445187,-0.214493674203657,-0.226130861798171
