strategy,annualized_return_gross,annualized_return_net_10bps,return_cost_drag,sharpe_gross,sharpe_net_10bps,sharpe_cost_drag,annualized_volatility_gross,max_drawdown_gross,realized_95_var_loss,realized_95_cvar_loss,turnover
Minimum CVaR,0.0595404743782093,0.0589362555980772,0.0006042187801321014,0.484480247253463,0.477100625956235,0.007379621297228023,0.0816142135873769,-0.212205717823658,0.0079009564947409,0.0115662817482273,0.875593101128048
SPY,0.140891100819541,0.140891100819541,0.0,0.632010845273715,0.632010845273715,0.0,0.191280104959567,-0.337172791965773,0.0177096110380425,0.0290584018887836,0.0
Equal Weight,0.085794464850095,0.085794464850095,0.0,0.525993417631821,0.525993417631821,0.0,0.125086099263982,-0.255194168493925,0.0118948929808493,0.0183180827074278,0.0
Minimum Variance,0.0574712890333797,0.0572718859238164,0.0001994031095632967,0.46556429326859,0.463076909081462,0.0024873841871280167,0.0804857450950648,-0.221995759237705,0.0077983967494215,0.0114885832542066,0.289088703670677
Maximum Sharpe,0.0970304061679808,0.096161097603757,0.0008693085642237919,0.585387958564163,0.57878477081301,0.0066031877511529835,0.131588641414696,-0.255799738292873,0.0136599140680476,0.0196575663881671,1.21645979103614
Combined Robust Max Sharpe λ=0.50 γ=0.10,0.0967766395702145,0.0963955202209166,0.00038111934929789537,0.705537662317773,0.702007753264854,0.0035299090529190558,0.108820044160356,-0.223657618173953,0.0106449915308005,0.0161202606372233,0.532543921728657
Inverse Volatility,0.0695863617569565,0.0695255536924262,6.0808064530293304e-05,0.502432073853658,0.501804143419548,0.0006279304341099134,0.0986926678001043,-0.235633362995075,0.0092261125445431,0.0143783826907525,0.0868650900305256
Equal Risk Contribution,0.0637810529362905,0.0637068255264368,7.422740985368881e-05,0.471068350358671,0.470257740514044,0.0008106098446269971,0.0929399160503049,-0.237623550164054,0.0089567423529594,0.0135473112658394,0.106709267246381
