date,strategy,stress_period,rolling_window,RF,strategy_return,actual_excess_return,alpha_component,MKT_RF_component,SMB_component,HML_component,RMW_component,CMA_component,MOM_component,predicted_excess_return,residual_component,factor_component
2020-02-20,SPY,COVID,252,0.0001,-0.0041081501499391,-0.0042081501499391,-1.8710294982355635e-05,-0.0034492462069134907,-0.0006707052309896028,7.998992549040257e-06,8.423158897629093e-05,-7.161356543446887e-05,-4.34760168016116e-05,-0.0041615207335961996,-4.662941634290055e-05,-0.004142810438613843
2020-02-21,SPY,COVID,252,0.0001,-0.0102985329556134,-0.0103985329556134,-1.8710294982355635e-05,-0.011037587862123485,5.239884617106272e-05,2.3877589698627634e-07,-9.309807202642681e-05,0.00022135102043381282,-1.5527148857718428e-05,-0.010890934735488125,0.0004924017798747255,-0.010872224440505769
2020-02-24,SPY,COVID,252,0.0001,-0.0331654653001897,-0.0332654653001897,-1.8710294982355635e-05,-0.033408413261248764,-0.0001676763077474007,1.1938794849313817e-07,-0.0001418637288021742,0.00015624777912975023,4.580508913026936e-05,-0.033534491336572186,0.0002690260363824859,-0.03351578104158983
2020-02-25,SPY,COVID,252,0.0001,-0.0303020044954162,-0.0304020044954162,-1.8710294982355635e-05,-0.03045191651246559,0.00037727169243165155,-8.118380497533394e-06,-0.0002748609745542125,2.604129652162504e-05,5.9779523102215954e-05,-0.0302905136504442,-0.0001114908449720009,-0.030271803355461844
2020-02-26,SPY,COVID,252,0.0001,-0.0036783453506892,-0.0037783453506891997,-1.8710294982355635e-05,-0.005124594364557332,0.0007859826925659408,-1.432655381917658e-05,-0.0002083623516781889,-5.208259304325008e-05,9.238653570342387e-05,-0.0045397069298109384,0.0007613615791217387,-0.004520996634828583
2020-02-27,SPY,COVID,252,0.0001,-0.0449115485580101,-0.0450115485580101,-1.8710294982355635e-05,-0.041588054266215174,-0.0007440636156290802,7.163276909588289e-07,-0.00018619614405285362,-8.463421369528138e-05,-1.2421719086174744e-05,-0.04263336392596997,-0.002378184632040134,-0.04261465363098761
2020-02-28,SPY,COVID,252,0.0001,-0.0042017832765244,-0.004301783276524401,-1.8710294982355635e-05,-0.007686891546835999,-7.33583846394878e-05,-9.551035879451053e-06,0.0001019645550765627,-0.00025390264108584416,-3.7265157258524226e-05,-0.007977714505605098,0.0036759312290806975,-0.007959004210622744
2020-03-02,SPY,COVID,252,0.0001,0.0433067925250276,0.0432067925250276,-1.8710294982355635e-05,0.042475003290850195,0.0019806763852661708,-5.014293836711803e-06,-0.00023052855930353307,0.0003385368547811255,0.0001490606290340969,0.04468902401180899,-0.0014822314867813935,0.04470773430679135
2020-03-03,SPY,COVID,252,0.0001,-0.0286324702077727,-0.028732470207772698,-1.8710294982355635e-05,-0.027593969655308616,-0.0007126243079264529,-7.5214407550677044e-06,-0.00017732966100271775,0.00016275810326015652,6.366131031664478e-05,-0.028283735946398412,-0.00044873426137428604,-0.028265025651416056
2020-03-04,SPY,COVID,252,0.0001,0.0420329785516306,0.0419329785516306,-1.8710294982355635e-05,0.03971560632531933,0.0012994913850423555,-1.3968389973697046e-05,3.1032690675475603e-05,0.00014322713086893773,8.229388894590767e-05,0.04123897273589595,0.000694005815734651,0.04125768303087831
2020-03-05,SPY,COVID,252,0.0001,-0.0332416950338747,-0.033341695033874706,-1.8710294982355635e-05,-0.03330986336962266,0.00015719653851318816,-1.6714312789039223e-05,-0.00037682552963077523,7.161356543446887e-05,3.493608492986646e-05,-0.0334583673181473,0.00011667228427259674,-0.03343965702316495
2020-03-06,SPY,COVID,252,0.0001,-0.0165310763380781,-0.0166310763380781,-1.8710294982355635e-05,-0.017541880709446254,0.0002200751539184634,-1.766941637698445e-05,0.00031476014827981955,0.00024088199282503163,4.1146944472953834e-05,-0.016761396181309323,0.0001303198432312247,-0.016742685886326967
2020-03-09,SPY,COVID,252,0.0001,-0.0780941869609362,-0.0781941869609362,-1.8710294982355635e-05,-0.07677036557673388,0.0014357283850871185,-5.670927553424063e-05,3.546593220054355e-05,0.0003385368547811255,0.0002810413943247036,-0.07475501258085698,-0.0034391743800792213,-0.07473630228587463
2020-03-10,SPY,COVID,252,0.0001,0.0517443348931563,0.0516443348931563,-1.8710294982355635e-05,0.0467126486307726,0.002494185077742575,9.312259982464776e-06,0.00022166207625339717,7.812388956487511e-05,2.794886794389317e-05,0.04952517050727744,0.0021191643858788564,0.0495438808022598
2020-03-11,SPY,COVID,252,0.0001,-0.0487483108851257,-0.0488483108851257,-1.8710294982355635e-05,-0.04986624516280789,0.0010898960003581045,-9.67042382794419e-06,1.7732966100271775e-05,9.76548619560939e-05,1.9408936072148035e-05,-0.048669933117131574,-0.00017837776799412702,-0.04865122282214922
2020-03-12,SPY,COVID,252,0.0001,-0.0956770455678661,-0.0957770455678661,-1.8710294982355635e-05,-0.09490354563593675,0.0011422948465291672,-1.361022612821763e-05,-0.00014629697032724214,-0.00015624777912975023,5.43450210020145e-06,-0.09409068155787494,-0.0016863640099911703,-0.09407197126289259
2020-03-13,SPY,COVID,252,0.0001,0.0854860158567696,0.0853860158567696,-1.8710294982355635e-05,0.08849780268024009,0.002127393154545146,3.5100056856982616e-05,0.0004965230508076097,0.0005078052821716883,-7.763574428859214e-05,0.09156827818535057,-0.006182262328580976,0.09158698848033292
2020-03-16,SPY,COVID,252,0.0001,-0.1094234965383562,-0.1095234965383562,-1.8710294982355635e-05,-0.11835841984294916,0.000848861307971216,-8.954096136985362e-06,0.000234961800828601,0.0007421769508663071,-0.00017545678209221824,-0.11673554095649458,0.007212044418138372,-0.11671683066151223
2020-03-17,SPY,COVID,252,0.0001,0.0539920435510887,0.053892043551088696,-1.8710294982355635e-05,0.057947336276148294,-0.000492549154007979,-7.998992549040257e-06,-0.0002083623516781889,-1.302064826081252e-05,0.00010015011013228386,0.0573068449448022,-0.0034148013937135013,0.057325555239784554
2020-03-18,SPY,COVID,252,0.0001,-0.0506329859926082,-0.050732985992608205,-1.8710294982355635e-05,-0.054793739744113015,0.004799734309269345,-5.6589887585747484e-05,4.876565677574738e-05,0.00011718583434731267,-0.00015449513113429837,-0.050057849257423015,-0.0006751367351851903,-0.05003913896244066
2020-03-19,SPY,COVID,252,0.0001,0.0021250671080248,0.0020250671080248002,-1.8710294982355635e-05,0.012910035803019434,-0.0059839482327353625,1.1341855106848125e-05,-0.0006250870550345801,-0.0010676931573866202,2.17380084008058e-05,0.005247676926388169,-0.003222609818363369,0.005266387221370525
2020-03-20,SPY,COVID,252,0.0001,-0.0430940796214993,-0.0431940796214993,-1.8710294982355635e-05,-0.04089820502483256,-0.0002200751539184634,-1.0744915364382434e-05,-0.00043889091098172196,-0.0007421769508663071,-6.210859543087371e-05,-0.04239091184637667,-0.0008031677751226332,-0.04237220155139431
2020-03-23,SPY,COVID,252,0.0001,-0.0255685167775593,-0.0256685167775593,-1.8710294982355635e-05,-0.025228772256282252,-0.0017396416928792823,-3.8920471208763035e-05,0.00015073021185231007,-0.0007682182473879387,0.00012033540364731782,-0.027523197347240964,0.0018546805696816639,-0.027504487052258608
2020-03-24,SPY,COVID,252,0.0001,0.0906034537326658,0.0905034537326658,-1.8710294982355635e-05,0.09204559877877978,0.00025151446162110104,2.8414331741366764e-05,0.000234961800828601,0.00015624777912975023,1.1645361643288822e-05,0.09270967221876153,-0.002206218486095729,0.09272838251374388
2020-03-25,SPY,COVID,252,0.0001,0.0149700791428437,0.0148700791428437,-1.8710294982355635e-05,0.0115303373202539,0.00018863584621582578,2.2325546368216837e-05,-3.1032690675475603e-05,5.208259304325008e-05,-1.3974433971946585e-05,0.011729663886251414,0.003140415256592286,0.01174837418123377
2020-03-26,SPY,COVID,252,0.0001,0.0583899471753994,0.0582899471753994,-1.8710294982355635e-05,0.059425584650539834,0.0005239884617106272,1.2893898437258922e-05,-0.00028816069912941634,-1.302064826081252e-05,3.338337004409462e-05,0.05967595873835923,-0.001386011562959831,0.059694669033341585
2020-03-27,SPY,COVID,252,0.0001,-0.0297855801905621,-0.0298855801905621,-1.8710294982355635e-05,-0.03429536228588369,0.0011632543849975925,-9.073484085478501e-06,-0.0004920898092825417,0.0005208259304325008,7.453031451704845e-05,-0.03305662524428693,0.003171045053724831,-0.033037914949304574
