strategy,window,factor,mean,median,std,min,max,p05,p25,p75,p95
Combined Robust Max Sharpe λ=0.50 γ=0.10,252,beta_MKT_RF,0.4411808521635165,0.3206551515878194,0.21620332060126235,0.1651827105572326,0.8649578177741746,0.20485681100617786,0.26130966289000546,0.6092349613925392,0.8258216483929451
Combined Robust Max Sharpe λ=0.50 γ=0.10,252,beta_SMB,-0.01950358588843241,-0.014472720293700007,0.04024214238196667,-0.1363058506744355,0.19756610741094643,-0.10188332509515212,-0.04135333162456384,0.007458860777006044,0.028247953019931032
Combined Robust Max Sharpe λ=0.50 γ=0.10,252,beta_HML,-0.10916910725432871,-0.1357161244780839,0.09438051471335279,-0.2926594887440317,0.0732542923416171,-0.2647999376061119,-0.16490740912166768,-0.016004457534022153,0.02701565029732149
Combined Robust Max Sharpe λ=0.50 γ=0.10,252,beta_RMW,0.024430062623619624,0.022770944317775405,0.08307138157021243,-0.20394339887981477,0.19570972228492,-0.1505628019187121,-0.027796568444043396,0.08439814396270409,0.1552499968377057
Combined Robust Max Sharpe λ=0.50 γ=0.10,252,beta_CMA,0.07536182889327792,0.0678264097074576,0.1041663012479438,-0.17716369665852746,0.3676067542504329,-0.08093202530281396,0.004987695064094456,0.13016981368567854,0.2680679273786336
Combined Robust Max Sharpe λ=0.50 γ=0.10,252,beta_MOM,0.02138194416401399,0.035568061673021706,0.09046464088645195,-0.2428452953981023,0.1852918761930326,-0.14922040719527363,-0.027577839138885188,0.07635026338856492,0.15917589835130483
Combined Robust Max Sharpe λ=0.50 γ=0.10,504,beta_MKT_RF,0.44172775077805104,0.4021593758169143,0.18052875086067555,0.22498188053208373,0.790029095763518,0.2539745378574811,0.27021174597906783,0.59106867512818,0.770398568655399
Combined Robust Max Sharpe λ=0.50 γ=0.10,504,beta_SMB,-0.010670996336812597,-0.008669275976160757,0.025025083598987034,-0.08358945218117339,0.0879644035395095,-0.06914899692928483,-0.023849757649417533,0.008683924484365457,0.020522476506188703
Combined Robust Max Sharpe λ=0.50 γ=0.10,504,beta_HML,-0.10059297026671704,-0.08329903042073779,0.061370174436343704,-0.2427224555989799,-0.004928845553950845,-0.2333131344707887,-0.13210351988016308,-0.05467183351631136,-0.023646833536283978
Combined Robust Max Sharpe λ=0.50 γ=0.10,504,beta_RMW,0.03417037116556398,0.04355037254820927,0.05694808534964552,-0.08904831054097508,0.1271196962075528,-0.07326250685294025,-0.0107925678078971,0.08003896301492108,0.11314181030039655
Combined Robust Max Sharpe λ=0.50 γ=0.10,504,beta_CMA,0.046781832806684596,0.027631184888238187,0.07949116762085155,-0.1291577393661737,0.22698176938544418,-0.03956907610134654,-0.019317140347398096,0.11659764150462014,0.1805789348179012
Combined Robust Max Sharpe λ=0.50 γ=0.10,504,beta_MOM,0.029989908998281464,0.040851737532530935,0.0785828227371439,-0.1629826667252524,0.13661947492306972,-0.1327617289904037,-0.011265747361585504,0.09084819981197789,0.12961027213370455
Equal Risk Contribution,252,beta_MKT_RF,0.3292522082857121,0.3064770661641728,0.08925290175740364,0.17889944902148242,0.5559238083157523,0.21192654427603022,0.26404533644164885,0.38358786431053904,0.5083470297093587
Equal Risk Contribution,252,beta_SMB,0.08496658986032861,0.0825156514773733,0.035119722694677384,-0.007415630965517481,0.27019451025764124,0.03051883134196833,0.061194475064825116,0.10634896473315819,0.14220926330608208
