portfolio,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,cumulative_return
SPY,0.1385196760708316,0.17581413911058957,0.6741191389407029,0.6380344799245582,-0.3371728575547861,3.597675402733013
Equal Weight,0.08595441846829388,0.11461209611588481,0.5754577457653952,0.5421860737699847,-0.2551941582387812,1.617478346066307
Minimum Variance,0.05559649492550345,0.07199353128676193,0.4944401849621297,0.47824921313174024,-0.20994276341462756,0.8707640593916384
Maximum Sharpe,0.13037786127719042,0.11593127876170276,0.9520973326281735,0.9094592160824154,-0.21593545195800726,3.163325138500235
